zipcode,total_pop_2019,college_pop_2019,college_percent_2019,    Population 18 to 24 years,        Bachelor's degree or higher,    Population 25 years and over,        Bachelor's degree or higher,    Population 25 to 34 years,        Bachelor's degree or higher,    Population 35 to 44 years,        Bachelor's degree or higher,    Population 45 to 64 years,        Bachelor's degree or higher,    Population 65 years and over,        Bachelor's degree or higher
60104,27516.00,4660.00,0.17,1966.00,78.00,12775.00,2291.00,2928.00,564.00,2130.00,421.00,4858.00,949.00,2859.00,357.00
60106,29962.00,6323.00,0.21,1916.00,243.00,14023.00,3040.00,3566.00,1096.00,2409.00,471.00,5153.00,928.00,2895.00,545.00
60107,59063.00,15913.00,0.27,3187.00,197.00,27938.00,7858.00,5750.00,1809.00,6084.00,1869.00,11313.00,3062.00,4791.00,1118.00
60108,34768.00,12720.00,0.37,1776.00,466.00,16496.00,6127.00,2957.00,1253.00,2869.00,1601.00,6004.00,2045.00,4666.00,1228.00
60109,896.00,270.00,0.30,110.00,12.00,393.00,129.00,40.00,13.00,62.00,27.00,197.00,75.00,94.00,14.00
60110,48797.00,8797.00,0.18,4421.00,291.00,22188.00,4253.00,5041.00,930.00,5631.00,1275.00,8608.00,1712.00,2908.00,336.00
60111,310.00,80.00,0.26,0.00,0.00,155.00,40.00,0.00,0.00,0.00,0.00,52.00,24.00,103.00,16.00
60112,5882.00,1926.00,0.33,456.00,52.00,2713.00,937.00,893.00,326.00,850.00,322.00,721.00,212.00,249.00,77.00
60113,458.00,61.00,0.13,40.00,1.00,209.00,30.00,50.00,6.00,33.00,5.00,86.00,12.00,40.00,7.00
60115,60137.00,19477.00,0.32,14339.00,1657.00,22899.00,8910.00,6750.00,2578.00,3935.00,1451.00,7989.00,3171.00,4225.00,1710.00
60118,24888.00,9871.00,0.40,1264.00,193.00,11812.00,4839.00,1775.00,749.00,1839.00,1009.00,5343.00,2211.00,2855.00,870.00
60119,14412.00,6239.00,0.43,776.00,291.00,6818.00,2974.00,911.00,411.00,1233.00,612.00,3295.00,1462.00,1379.00,489.00
60120,67725.00,11206.00,0.17,5231.00,238.00,31247.00,5484.00,7290.00,1475.00,6667.00,972.00,12063.00,1943.00,5227.00,1094.00
60123,68425.00,15431.00,0.23,4897.00,521.00,31764.00,7455.00,6712.00,1459.00,6149.00,1385.00,12518.00,3086.00,6385.00,1525.00
60124,32544.00,13374.00,0.41,1264.00,248.00,15640.00,6563.00,2848.00,1591.00,2915.00,1460.00,5737.00,2280.00,4140.00,1232.00
60126,67823.00,38207.00,0.56,4475.00,879.00,31674.00,18664.00,4236.00,2880.00,6212.00,4388.00,13735.00,8440.00,7491.00,2956.00
60129,416.00,68.00,0.16,10.00,0.00,203.00,34.00,43.00,9.00,21.00,2.00,43.00,13.00,96.00,10.00
60130,23132.00,11466.00,0.50,1004.00,352.00,11064.00,5557.00,2867.00,1876.00,2092.00,1314.00,3891.00,1572.00,2214.00,795.00
60131,26269.00,4639.00,0.18,1707.00,159.00,12281.00,2240.00,2538.00,817.00,2493.00,471.00,4678.00,657.00,2572.00,295.00
60133,51917.00,13322.00,0.26,4143.00,450.00,23887.00,6436.00,5366.00,1635.00,5513.00,1404.00,9135.00,2261.00,3873.00,1136.00
60134,41209.00,25052.00,0.61,2065.00,294.00,19572.00,12379.00,2573.00,1762.00,4032.00,2860.00,8927.00,5671.00,4040.00,2086.00
60135,10006.00,1881.00,0.19,894.00,83.00,4556.00,899.00,726.00,141.00,997.00,185.00,2025.00,358.00,808.00,215.00
60136,10837.00,4695.00,0.43,105.00,77.00,5366.00,2309.00,1854.00,750.00,1092.00,604.00,1862.00,802.00,558.00,153.00
60137,53793.00,33130.00,0.62,2837.00,734.00,25478.00,16198.00,3409.00,2147.00,4911.00,3706.00,10958.00,7335.00,6200.00,3010.00
60139,48462.00,13336.00,0.28,2924.00,504.00,22769.00,6416.00,6434.00,2292.00,4553.00,1178.00,7919.00,2001.00,3863.00,945.00
60140,26316.00,9594.00,0.36,1288.00,308.00,12514.00,4643.00,1951.00,571.00,2747.00,1315.00,5274.00,2058.00,2542.00,699.00
60141,596.00,186.00,0.31,8.00,0.00,294.00,93.00,0.00,0.00,0.00,0.00,52.00,3.00,242.00,90.00
60142,43904.00,14463.00,0.33,1566.00,219.00,21169.00,7122.00,1898.00,926.00,3072.00,1745.00,7085.00,2690.00,9114.00,1761.00
60143,17578.00,6868.00,0.39,708.00,234.00,8435.00,3317.00,1361.00,583.00,1291.00,590.00,3593.00,1478.00,2190.00,666.00
60144,102.00,18.00,0.18,0.00,0.00,51.00,9.00,3.00,1.00,5.00,0.00,29.00,8.00,14.00,0.00
60145,3696.00,668.00,0.18,296.00,0.00,1700.00,334.00,464.00,98.00,305.00,51.00,684.00,156.00,247.00,29.00
60146,3452.00,680.00,0.20,226.00,14.00,1613.00,333.00,288.00,133.00,265.00,41.00,599.00,93.00,461.00,66.00
60148,78323.00,34934.00,0.45,4891.00,1070.00,36716.00,16932.00,8023.00,4655.00,6415.00,3428.00,13644.00,6084.00,8634.00,2765.00
60150,2870.00,855.00,0.30,202.00,61.00,1334.00,397.00,153.00,46.00,256.00,67.00,618.00,176.00,307.00,108.00
60151,6375.00,1721.00,0.27,277.00,11.00,3049.00,855.00,575.00,225.00,533.00,157.00,1411.00,401.00,530.00,72.00
60152,17902.00,4759.00,0.27,956.00,149.00,8473.00,2305.00,1307.00,295.00,1333.00,464.00,3603.00,912.00,2230.00,634.00
60153,34741.00,4523.00,0.13,2671.00,243.00,16035.00,2140.00,3225.00,455.00,3104.00,440.00,6187.00,871.00,3519.00,374.00
60154,26029.00,10644.00,0.41,1049.00,204.00,12490.00,5220.00,1746.00,1006.00,2265.00,992.00,4585.00,2004.00,3894.00,1218.00
60155,12101.00,2433.00,0.20,415.00,79.00,5843.00,1177.00,1349.00,401.00,886.00,181.00,2284.00,395.00,1324.00,200.00
60156,38901.00,13918.00,0.36,3217.00,254.00,17842.00,6832.00,3491.00,1544.00,4314.00,1772.00,7696.00,2984.00,2341.00,532.00
60157,4251.00,1403.00,0.33,413.00,43.00,1919.00,680.00,130.00,55.00,434.00,261.00,893.00,293.00,462.00,71.00
60160,34437.00,4174.00,0.12,2001.00,32.00,16218.00,2071.00,4351.00,646.00,4012.00,448.00,5160.00,626.00,2695.00,351.00
60162,12429.00,2054.00,0.17,875.00,92.00,5777.00,981.00,1402.00,353.00,980.00,76.00,2421.00,300.00,974.00,252.00
60163,7656.00,1368.00,0.18,400.00,8.00,3628.00,680.00,879.00,176.00,462.00,112.00,1492.00,262.00,795.00,130.00
60164,29686.00,3610.00,0.12,1932.00,186.00,13877.00,1712.00,2828.00,545.00,2685.00,194.00,5490.00,678.00,2874.00,295.00
60165,6369.00,315.00,0.05,559.00,7.00,2905.00,154.00,682.00,67.00,846.00,11.00,1131.00,47.00,246.00,29.00
60169,48470.00,19103.00,0.39,3064.00,609.00,22703.00,9247.00,5417.00,3034.00,4407.00,1830.00,8962.00,3089.00,3917.00,1294.00
60171,14946.00,2876.00,0.19,604.00,84.00,7171.00,1396.00,1690.00,392.00,1245.00,351.00,2776.00,408.00,1460.00,245.00
60172,36289.00,13503.00,0.37,2467.00,345.00,16911.00,6579.00,2943.00,1491.00,3420.00,1645.00,7100.00,2446.00,3448.00,997.00
60173,19241.00,12168.00,0.63,837.00,380.00,9202.00,5894.00,3038.00,2270.00,2399.00,1738.00,2560.00,1293.00,1205.00,593.00
60174,46876.00,20633.00,0.44,2702.00,579.00,22087.00,10027.00,3692.00,1697.00,3460.00,1720.00,9487.00,4358.00,5448.00,2252.00
60175,36409.00,20368.00,0.56,1985.00,444.00,17212.00,9962.00,2404.00,1433.00,2908.00,2193.00,8543.00,5109.00,3357.00,1227.00
60176,17076.00,3086.00,0.18,900.00,12.00,8088.00,1537.00,1046.00,309.00,2152.00,480.00,3243.00,542.00,1647.00,206.00
60177,32180.00,11061.00,0.34,2160.00,355.00,15010.00,5353.00,2486.00,938.00,3239.00,1362.00,6781.00,2716.00,2504.00,337.00
60178,30982.00,11429.00,0.37,2128.00,275.00,14427.00,5577.00,2675.00,884.00,2862.00,1244.00,5598.00,2419.00,3292.00,1030.00
60180,2391.00,437.00,0.18,135.00,43.00,1128.00,197.00,183.00,55.00,246.00,29.00,421.00,98.00,278.00,15.00
60181,41630.00,14750.00,0.35,2584.00,480.00,19523.00,7135.00,4269.00,2066.00,3984.00,1401.00,7502.00,2826.00,3768.00,842.00
60184,3941.00,1729.00,0.44,141.00,49.00,1900.00,840.00,219.00,108.00,290.00,147.00,826.00,368.00,565.00,217.00
60185,50255.00,13945.00,0.28,3375.00,359.00,23440.00,6793.00,4858.00,1228.00,4853.00,1343.00,9767.00,3092.00,3962.00,1130.00
60187,41780.00,23822.00,0.57,4286.00,522.00,18747.00,11650.00,3841.00,2309.00,2844.00,2011.00,7607.00,4919.00,4455.00,2411.00
60188,61678.00,23957.00,0.39,3778.00,623.00,28950.00,11667.00,5677.00,2665.00,5386.00,2425.00,12495.00,4621.00,5392.00,1956.00
60189,43572.00,27634.00,0.63,2104.00,536.00,20734.00,13549.00,3979.00,2188.00,3405.00,2602.00,8489.00,5956.00,4861.00,2803.00
60190,17357.00,10041.00,0.58,765.00,225.00,8296.00,4908.00,996.00,709.00,1100.00,691.00,4153.00,2463.00,2047.00,1045.00
60191,21307.00,4940.00,0.23,1381.00,118.00,9963.00,2411.00,1988.00,563.00,1573.00,555.00,4077.00,936.00,2325.00,357.00
60192,22423.00,13314.00,0.59,831.00,140.00,10796.00,6587.00,1533.00,1061.00,2167.00,1624.00,4955.00,2954.00,2141.00,948.00
60193,59219.00,24986.00,0.42,2257.00,408.00,28481.00,12289.00,4751.00,2465.00,5879.00,3093.00,10990.00,4696.00,6861.00,2035.00
60194,29668.00,13399.00,0.45,884.00,181.00,14392.00,6609.00,2958.00,1711.00,2774.00,1646.00,5506.00,2218.00,3154.00,1034.00
60195,7141.00,4762.00,0.67,337.00,120.00,3402.00,2321.00,1325.00,1116.00,994.00,745.00,751.00,291.00,332.00,169.00
60201,58326.00,36165.00,0.62,9650.00,1291.00,24338.00,17437.00,4537.00,3452.00,3995.00,3086.00,8626.00,6121.00,7180.00,4778.00
60202,49046.00,29976.00,0.61,1948.00,632.00,23549.00,14672.00,5251.00,3392.00,4756.00,3007.00,9123.00,5686.00,4419.00,2587.00
60203,6177.00,4292.00,0.69,345.00,20.00,2916.00,2136.00,202.00,194.00,628.00,422.00,1199.00,925.00,887.00,595.00
60301,4836.00,3660.00,0.76,268.00,40.00,2284.00,1810.00,693.00,676.00,369.00,263.00,670.00,529.00,552.00,342.00
60302,46849.00,31737.00,0.68,1599.00,503.00,22625.00,15617.00,3749.00,2862.00,4832.00,3626.00,8828.00,6121.00,5216.00,3008.00
60304,24546.00,16741.00,0.68,1020.00,225.00,11763.00,8258.00,2207.00,1470.00,2905.00,2289.00,4724.00,3407.00,1927.00,1092.00
60305,15048.00,11222.00,0.75,1278.00,146.00,6885.00,5538.00,559.00,465.00,1194.00,934.00,3297.00,2741.00,1835.00,1398.00
60401,11973.00,2216.00,0.19,667.00,74.00,5653.00,1071.00,743.00,218.00,973.00,303.00,2468.00,352.00,1469.00,198.00
60402,85915.00,17567.00,0.20,5757.00,367.00,40079.00,8600.00,8304.00,1764.00,9965.00,2422.00,15235.00,3368.00,6575.00,1046.00
60403,28395.00,6029.00,0.21,2039.00,307.00,13178.00,2861.00,2625.00,517.00,2797.00,746.00,4322.00,816.00,3434.00,782.00
60404,27528.00,10311.00,0.37,1440.00,123.00,13044.00,5094.00,1827.00,842.00,2471.00,1181.00,5536.00,2199.00,3210.00,872.00
60406,34270.00,4627.00,0.14,2698.00,131.00,15786.00,2248.00,3562.00,742.00,3425.00,529.00,6340.00,729.00,2459.00,248.00
60407,2313.00,152.00,0.07,165.00,0.00,1074.00,76.00,145.00,2.00,209.00,3.00,491.00,54.00,229.00,17.00
60408,7831.00,1104.00,0.14,527.00,68.00,3652.00,518.00,730.00,112.00,794.00,187.00,1557.00,144.00,571.00,75.00
60409,51903.00,8745.00,0.17,4073.00,177.00,23915.00,4284.00,4795.00,960.00,4412.00,795.00,9893.00,1816.00,4815.00,713.00
60410,17842.00,4893.00,0.27,1058.00,113.00,8392.00,2390.00,1336.00,517.00,1620.00,631.00,3523.00,910.00,1913.00,332.00
60411,78549.00,12596.00,0.16,6179.00,474.00,36185.00,6061.00,7978.00,1363.00,6612.00,968.00,14054.00,2640.00,7541.00,1090.00
60415,20216.00,3449.00,0.17,1052.00,155.00,9582.00,1647.00,2572.00,481.00,1759.00,415.00,3298.00,577.00,1953.00,174.00
60416,12563.00,2304.00,0.18,739.00,24.00,5912.00,1140.00,1263.00,314.00,1277.00,320.00,2372.00,383.00,1000.00,123.00
60417,23592.00,7476.00,0.32,1410.00,162.00,11091.00,3657.00,1478.00,580.00,1339.00,627.00,4552.00,1416.00,3722.00,1034.00
60419,30931.00,5576.00,0.18,2573.00,120.00,14179.00,2728.00,2537.00,299.00,2531.00,571.00,6242.00,1440.00,2869.00,418.00
60420,7254.00,1368.00,0.19,466.00,32.00,3394.00,668.00,436.00,108.00,618.00,64.00,1404.00,329.00,936.00,167.00
60421,5825.00,976.00,0.17,249.00,10.00,2788.00,483.00,462.00,30.00,658.00,164.00,1064.00,126.00,604.00,163.00
60422,14533.00,8280.00,0.57,919.00,78.00,6807.00,4101.00,628.00,376.00,1187.00,752.00,2961.00,1761.00,2031.00,1212.00
60423,44264.00,20107.00,0.45,2600.00,697.00,20832.00,9705.00,2282.00,1162.00,3739.00,2310.00,9953.00,4510.00,4858.00,1723.00
60424,3594.00,434.00,0.12,206.00,12.00,1694.00,211.00,289.00,31.00,243.00,40.00,803.00,113.00,359.00,27.00
60425,12249.00,3416.00,0.28,839.00,28.00,5705.00,1694.00,881.00,303.00,980.00,295.00,2470.00,713.00,1374.00,383.00
60426,39053.00,3716.00,0.10,3329.00,130.00,17862.00,1793.00,3203.00,447.00,3736.00,392.00,6842.00,705.00,4081.00,249.00
60428,16511.00,2624.00,0.16,1023.00,36.00,7744.00,1294.00,1405.00,205.00,1542.00,313.00,3026.00,525.00,1771.00,251.00
60429,21164.00,5354.00,0.25,1356.00,92.00,9904.00,2631.00,1758.00,481.00,1523.00,374.00,4316.00,1301.00,2307.00,475.00
60430,28375.00,12149.00,0.43,1277.00,259.00,13549.00,5945.00,1984.00,814.00,2758.00,1353.00,5543.00,2507.00,3264.00,1271.00
60431,33303.00,8251.00,0.25,2113.00,79.00,15595.00,4086.00,3566.00,899.00,3353.00,951.00,5889.00,1618.00,2787.00,618.00
60432,25637.00,2644.00,0.10,2075.00,60.00,11781.00,1292.00,2676.00,425.00,3062.00,370.00,4327.00,306.00,1716.00,191.00
60433,23543.00,2241.00,0.10,1727.00,9.00,10908.00,1116.00,2334.00,275.00,1892.00,150.00,4101.00,435.00,2581.00,256.00
60435,69093.00,14235.00,0.21,5337.00,563.00,31878.00,6836.00,6425.00,1190.00,6759.00,1471.00,12115.00,2645.00,6579.00,1530.00
60436,25011.00,2967.00,0.12,1807.00,43.00,11602.00,1462.00,2737.00,418.00,2795.00,296.00,4272.00,531.00,1798.00,217.00
60437,262.00,14.00,0.05,30.00,0.00,116.00,7.00,22.00,0.00,18.00,1.00,53.00,6.00,23.00,0.00
60438,40862.00,9600.00,0.23,2554.00,392.00,19154.00,4604.00,2943.00,965.00,3862.00,1050.00,7970.00,1820.00,4379.00,769.00
60439,35223.00,13849.00,0.39,1581.00,337.00,16821.00,6756.00,2054.00,1005.00,2506.00,1378.00,7268.00,2994.00,4993.00,1379.00
60440,73787.00,22605.00,0.31,4919.00,651.00,34434.00,10977.00,7324.00,2506.00,7322.00,2695.00,13844.00,4050.00,5944.00,1726.00
60441,50473.00,14236.00,0.28,2991.00,476.00,23741.00,6880.00,5129.00,1633.00,4954.00,1710.00,9467.00,2636.00,4191.00,901.00
60442,14163.00,4084.00,0.29,915.00,114.00,6624.00,1985.00,1540.00,655.00,1411.00,519.00,2631.00,661.00,1042.00,150.00
60443,32046.00,10341.00,0.32,2188.00,193.00,14929.00,5074.00,2189.00,1034.00,2380.00,1152.00,6820.00,2109.00,3540.00,779.00
60444,2575.00,439.00,0.17,167.00,9.00,1204.00,215.00,244.00,59.00,233.00,29.00,514.00,95.00,213.00,32.00
60445,40044.00,6951.00,0.17,2020.00,191.00,19012.00,3380.00,3632.00,834.00,3152.00,640.00,7427.00,1163.00,4801.00,743.00
60446,54383.00,11406.00,0.21,5521.00,366.00,24431.00,5520.00,4557.00,1257.00,6141.00,1405.00,9745.00,2147.00,3988.00,711.00
60447,18673.00,5671.00,0.30,1021.00,179.00,8826.00,2746.00,1945.00,792.00,2225.00,631.00,3357.00,1056.00,1299.00,267.00
60448,38054.00,16234.00,0.43,1966.00,382.00,18044.00,7926.00,2869.00,1663.00,3373.00,2029.00,8279.00,3279.00,3523.00,955.00
60449,14819.00,3528.00,0.24,563.00,0.00,7128.00,1764.00,1162.00,359.00,1249.00,438.00,3027.00,749.00,1690.00,218.00
60450,30956.00,6981.00,0.23,1518.00,167.00,14719.00,3407.00,2556.00,781.00,2621.00,714.00,5778.00,1131.00,3764.00,781.00
60451,50122.00,18923.00,0.38,3142.00,637.00,23490.00,9143.00,3906.00,1990.00,4642.00,2295.00,10903.00,3899.00,4039.00,959.00
60452,41538.00,12645.00,0.30,2670.00,415.00,19434.00,6115.00,3435.00,1635.00,3319.00,1241.00,8641.00,2278.00,4039.00,961.00
60453,83990.00,24831.00,0.30,4124.00,807.00,39933.00,12012.00,7613.00,3072.00,6769.00,2405.00,15209.00,4122.00,10342.00,2413.00
60455,23296.00,4187.00,0.18,1392.00,63.00,10952.00,2062.00,2628.00,623.00,1926.00,561.00,3923.00,554.00,2475.00,324.00
60456,6227.00,834.00,0.13,445.00,22.00,2891.00,406.00,553.00,223.00,545.00,31.00,1206.00,136.00,587.00,16.00
60457,20018.00,4442.00,0.22,1110.00,182.00,9454.00,2130.00,1776.00,702.00,1875.00,322.00,3559.00,853.00,2244.00,253.00
60458,20521.00,2970.00,0.14,1531.00,104.00,9495.00,1433.00,2483.00,412.00,2521.00,596.00,2981.00,315.00,1510.00,110.00
60459,40808.00,6034.00,0.15,2840.00,184.00,18984.00,2925.00,3689.00,1074.00,3494.00,665.00,7646.00,896.00,4155.00,290.00
60460,1903.00,254.00,0.13,119.00,0.00,892.00,127.00,165.00,19.00,143.00,23.00,379.00,61.00,205.00,24.00
60461,7196.00,3599.00,0.50,362.00,17.00,3417.00,1791.00,462.00,227.00,385.00,233.00,1193.00,615.00,1377.00,716.00
60462,60824.00,24613.00,0.40,2486.00,425.00,29169.00,12094.00,4718.00,2446.00,4795.00,2468.00,10868.00,4414.00,8788.00,2766.00
60463,23172.00,9793.00,0.42,1094.00,105.00,11039.00,4844.00,1357.00,812.00,1340.00,711.00,3981.00,1774.00,4361.00,1547.00
60464,15181.00,6898.00,0.45,531.00,62.00,7325.00,3418.00,645.00,394.00,991.00,604.00,2904.00,1365.00,2785.00,1055.00
60465,25802.00,7182.00,0.28,1480.00,242.00,12161.00,3470.00,1949.00,751.00,2223.00,863.00,4505.00,1201.00,3484.00,655.00
60466,32015.00,8018.00,0.25,1519.00,26.00,15248.00,3996.00,2866.00,744.00,3326.00,791.00,5850.00,1558.00,3206.00,903.00
60467,41071.00,18669.00,0.45,1809.00,647.00,19631.00,9011.00,2213.00,1413.00,2592.00,1583.00,8988.00,4359.00,5838.00,1656.00
60468,8795.00,1834.00,0.21,657.00,36.00,4069.00,899.00,626.00,202.00,811.00,227.00,1734.00,313.00,898.00,157.00
60469,7126.00,1344.00,0.19,522.00,50.00,3302.00,647.00,900.00,232.00,696.00,183.00,1277.00,167.00,429.00,65.00
60470,819.00,72.00,0.09,33.00,12.00,393.00,30.00,81.00,10.00,56.00,8.00,191.00,6.00,65.00,6.00
60471,19519.00,4721.00,0.24,2153.00,147.00,8683.00,2287.00,1113.00,371.00,1534.00,374.00,4384.00,1211.00,1652.00,331.00
60472,7327.00,868.00,0.12,383.00,20.00,3472.00,424.00,937.00,85.00,563.00,38.00,1167.00,177.00,805.00,124.00
60473,31432.00,8416.00,0.27,1772.00,140.00,14830.00,4138.00,2584.00,529.00,2401.00,834.00,6157.00,1958.00,3688.00,817.00
60474,1260.00,120.00,0.10,64.00,12.00,598.00,54.00,97.00,8.00,139.00,14.00,229.00,22.00,133.00,10.00
60475,14298.00,2115.00,0.15,1022.00,79.00,6638.00,1018.00,1093.00,257.00,1366.00,203.00,2855.00,519.00,1324.00,39.00
60476,4031.00,727.00,0.18,223.00,25.00,1904.00,351.00,373.00,107.00,301.00,67.00,762.00,112.00,468.00,65.00
60477,56473.00,16671.00,0.30,2715.00,511.00,26879.00,8080.00,5863.00,2290.00,4317.00,1724.00,9970.00,2768.00,6729.00,1298.00
60478,24807.00,7314.00,0.29,1369.00,160.00,11719.00,3577.00,2287.00,724.00,1849.00,304.00,4619.00,1792.00,2964.00,757.00
60479,1308.00,194.00,0.15,94.00,0.00,607.00,97.00,52.00,3.00,198.00,40.00,269.00,36.00,88.00,18.00
60480,8254.00,3001.00,0.36,346.00,49.00,3954.00,1476.00,608.00,318.00,508.00,263.00,1520.00,613.00,1318.00,282.00
60481,18335.00,2387.00,0.13,879.00,49.00,8728.00,1169.00,1277.00,209.00,1258.00,214.00,3799.00,463.00,2394.00,283.00
60482,16177.00,2503.00,0.15,1067.00,93.00,7555.00,1205.00,1365.00,413.00,1381.00,181.00,3189.00,458.00,1620.00,153.00
60484,8749.00,2295.00,0.26,475.00,31.00,4137.00,1132.00,1175.00,278.00,729.00,307.00,1588.00,353.00,645.00,194.00
60487,38270.00,17185.00,0.45,1912.00,557.00,18179.00,8314.00,3190.00,1956.00,3297.00,1828.00,8052.00,3434.00,3640.00,1096.00
60490,30207.00,15122.00,0.50,2389.00,338.00,13909.00,7392.00,2724.00,1396.00,3290.00,2136.00,6537.00,3344.00,1358.00,516.00
60491,33872.00,12441.00,0.37,1646.00,355.00,16113.00,6043.00,2405.00,1194.00,2562.00,1169.00,6894.00,2637.00,4252.00,1043.00
60501,15217.00,1786.00,0.12,1005.00,92.00,7106.00,847.00,1627.00,301.00,1697.00,169.00,2572.00,268.00,1210.00,109.00
60502,30305.00,17909.00,0.59,1439.00,239.00,14433.00,8835.00,2337.00,1380.00,3708.00,2578.00,6327.00,3924.00,2061.00,953.00
60503,22348.00,12023.00,0.54,1126.00,233.00,10611.00,5895.00,2177.00,1339.00,3819.00,2483.00,3767.00,1811.00,848.00,262.00
60504,52570.00,22226.00,0.42,4156.00,648.00,24207.00,10789.00,5301.00,2689.00,6562.00,3122.00,9728.00,4285.00,2616.00,693.00
60505,97067.00,9258.00,0.10,7801.00,328.00,44633.00,4465.00,10090.00,1143.00,11736.00,695.00,15630.00,1584.00,7177.00,1043.00
60506,75271.00,16675.00,0.22,5875.00,143.00,34698.00,8266.00,7168.00,1851.00,7716.00,1814.00,13160.00,2786.00,6654.00,1815.00
60510,42285.00,20361.00,0.48,2427.00,351.00,19929.00,10005.00,3217.00,1327.00,3697.00,2238.00,8785.00,4756.00,4230.00,1684.00
60511,2654.00,747.00,0.28,136.00,25.00,1259.00,361.00,268.00,89.00,161.00,37.00,481.00,121.00,349.00,114.00
60512,1736.00,730.00,0.42,0.00,0.00,868.00,365.00,252.00,136.00,92.00,47.00,211.00,54.00,313.00,128.00
60513,26707.00,11513.00,0.43,1001.00,105.00,12853.00,5704.00,2023.00,1129.00,3150.00,1695.00,5215.00,2182.00,2465.00,698.00
60514,13219.00,9215.00,0.70,431.00,73.00,6394.00,4571.00,651.00,371.00,1490.00,1258.00,2977.00,2286.00,1276.00,656.00
60515,41270.00,23037.00,0.56,2092.00,617.00,19589.00,11210.00,3087.00,2223.00,3250.00,2419.00,7957.00,4728.00,5295.00,1840.00
60516,44458.00,23715.00,0.53,1930.00,813.00,21264.00,11451.00,3471.00,2174.00,3586.00,2205.00,8407.00,4366.00,5800.00,2706.00
60517,48254.00,23106.00,0.48,3104.00,746.00,22575.00,11180.00,4762.00,2581.00,4534.00,2285.00,9322.00,4652.00,3957.00,1662.00
60518,5359.00,752.00,0.14,287.00,0.00,2536.00,376.00,380.00,87.00,395.00,58.00,1194.00,162.00,567.00,69.00
60519,48.00,20.00,0.42,0.00,0.00,24.00,10.00,0.00,0.00,0.00,0.00,17.00,10.00,7.00,0.00
60520,4065.00,1067.00,0.26,219.00,37.00,1923.00,515.00,378.00,109.00,334.00,97.00,801.00,217.00,410.00,92.00
60521,24427.00,19229.00,0.79,925.00,243.00,11751.00,9493.00,1012.00,704.00,2217.00,1958.00,5822.00,5044.00,2700.00,1787.00
60523,16571.00,10025.00,0.60,383.00,53.00,8094.00,4986.00,510.00,413.00,906.00,707.00,2423.00,1494.00,4255.00,2372.00
60525,44283.00,21956.00,0.50,1885.00,252.00,21199.00,10852.00,2716.00,1562.00,3605.00,2022.00,9018.00,4886.00,5860.00,2382.00
60526,19075.00,10772.00,0.56,805.00,196.00,9135.00,5288.00,1273.00,751.00,1866.00,1247.00,3555.00,2141.00,2441.00,1149.00
60527,44390.00,24444.00,0.55,1574.00,492.00,21408.00,11976.00,2629.00,1669.00,3674.00,2478.00,9001.00,4882.00,6104.00,2947.00
60530,716.00,166.00,0.23,30.00,2.00,343.00,82.00,75.00,21.00,71.00,16.00,117.00,11.00,80.00,34.00
60531,2777.00,510.00,0.18,97.00,0.00,1340.00,255.00,219.00,36.00,254.00,78.00,557.00,108.00,310.00,33.00
60532,42585.00,23949.00,0.56,3033.00,579.00,19776.00,11685.00,4501.00,2930.00,3747.00,2523.00,7182.00,4124.00,4346.00,2108.00
60534,14721.00,2483.00,0.17,903.00,83.00,6909.00,1200.00,1828.00,328.00,1219.00,229.00,2516.00,447.00,1346.00,196.00
60536,203.00,20.00,0.10,17.00,2.00,93.00,9.00,24.00,1.00,18.00,2.00,36.00,6.00,15.00,0.00
60537,834.00,112.00,0.13,38.00,0.00,398.00,56.00,84.00,10.00,90.00,14.00,167.00,24.00,57.00,8.00
60538,37532.00,10454.00,0.28,2674.00,174.00,17429.00,5140.00,3954.00,1517.00,4303.00,1610.00,6171.00,1479.00,3001.00,534.00
60539,416.00,34.00,0.08,2.00,0.00,207.00,17.00,103.00,0.00,0.00,0.00,104.00,17.00,0.00,0.00
60540,64339.00,40974.00,0.64,4573.00,888.00,29883.00,20043.00,4268.00,2954.00,6225.00,4717.00,12763.00,8653.00,6627.00,3719.00
60541,5089.00,1147.00,0.23,249.00,13.00,2420.00,567.00,631.00,176.00,433.00,112.00,1014.00,196.00,342.00,83.00
60542,27094.00,10367.00,0.38,1342.00,319.00,12876.00,5024.00,2363.00,1061.00,2376.00,1057.00,5656.00,2282.00,2481.00,624.00
60543,54511.00,23186.00,0.43,3791.00,340.00,25360.00,11423.00,4055.00,2171.00,6068.00,3081.00,10932.00,4624.00,4305.00,1547.00
60544,38474.00,13011.00,0.34,2328.00,297.00,18073.00,6357.00,2705.00,1130.00,3664.00,1797.00,6700.00,2361.00,5004.00,1069.00
60545,19073.00,4234.00,0.22,1005.00,0.00,9034.00,2117.00,2218.00,397.00,2127.00,751.00,3248.00,754.00,1441.00,215.00
60546,22080.00,10424.00,0.47,1118.00,134.00,10481.00,5145.00,1500.00,799.00,1915.00,1121.00,4618.00,2314.00,2448.00,911.00
60548,17292.00,2786.00,0.16,1538.00,56.00,7877.00,1365.00,1324.00,304.00,1256.00,271.00,3201.00,417.00,2096.00,373.00
60549,277.00,113.00,0.41,51.00,17.00,113.00,48.00,12.00,12.00,25.00,25.00,22.00,11.00,54.00,0.00
60550,2477.00,474.00,0.19,117.00,8.00,1180.00,233.00,139.00,42.00,168.00,8.00,524.00,82.00,349.00,101.00
