zipcode,total_pop_2019,college_pop_2019,college_percent_2019,    Population 18 to 24 years,        Bachelor's degree or higher,    Population 25 years and over,        Bachelor's degree or higher,    Population 25 to 34 years,        Bachelor's degree or higher,    Population 35 to 44 years,        Bachelor's degree or higher,    Population 45 to 64 years,        Bachelor's degree or higher,    Population 65 years and over,        Bachelor's degree or higher
62940,431.00,38.00,0.09,37.00,0.00,197.00,19.00,14.00,0.00,40.00,4.00,79.00,6.00,64.00,9.00
62941,1104.00,64.00,0.06,66.00,0.00,519.00,32.00,64.00,5.00,95.00,6.00,176.00,12.00,184.00,9.00
62942,913.00,76.00,0.08,71.00,20.00,421.00,28.00,59.00,2.00,69.00,0.00,198.00,14.00,95.00,12.00
62943,625.00,133.00,0.21,31.00,9.00,297.00,62.00,12.00,0.00,27.00,10.00,176.00,52.00,82.00,0.00
62946,18780.00,3625.00,0.19,808.00,13.00,8986.00,1806.00,1546.00,402.00,1346.00,243.00,3674.00,717.00,2420.00,444.00
62947,858.00,58.00,0.07,0.00,0.00,429.00,29.00,60.00,0.00,98.00,5.00,55.00,10.00,216.00,14.00
62948,19121.00,4061.00,0.21,1207.00,41.00,8957.00,2010.00,1747.00,550.00,1568.00,261.00,3509.00,779.00,2133.00,420.00
62949,1110.00,92.00,0.08,48.00,0.00,531.00,46.00,102.00,9.00,73.00,10.00,211.00,16.00,145.00,11.00
62950,282.00,54.00,0.19,0.00,0.00,141.00,27.00,26.00,12.00,29.00,0.00,44.00,15.00,42.00,0.00
62951,7102.00,960.00,0.14,344.00,0.00,3379.00,480.00,383.00,137.00,674.00,125.00,1400.00,178.00,922.00,40.00
62952,4815.00,854.00,0.18,159.00,2.00,2328.00,426.00,363.00,77.00,409.00,96.00,862.00,115.00,694.00,138.00
62953,376.00,14.00,0.04,28.00,0.00,174.00,7.00,46.00,0.00,16.00,0.00,72.00,6.00,40.00,1.00
62954,734.00,50.00,0.07,14.00,12.00,360.00,19.00,58.00,2.00,51.00,0.00,114.00,7.00,137.00,10.00
62956,1292.00,81.00,0.06,96.00,1.00,598.00,40.00,148.00,0.00,27.00,2.00,167.00,11.00,256.00,27.00
62957,1243.00,182.00,0.15,35.00,0.00,604.00,91.00,71.00,25.00,115.00,4.00,292.00,56.00,126.00,6.00
62958,3277.00,1402.00,0.43,123.00,12.00,1577.00,695.00,204.00,77.00,267.00,122.00,717.00,346.00,389.00,150.00
62959,42653.00,9709.00,0.23,1803.00,117.00,20425.00,4796.00,4114.00,837.00,3632.00,899.00,7086.00,1825.00,5593.00,1235.00
62960,15843.00,2362.00,0.15,731.00,30.00,7556.00,1166.00,978.00,131.00,1380.00,448.00,2895.00,373.00,2303.00,214.00
62961,48.00,16.00,0.33,6.00,0.00,21.00,8.00,2.00,2.00,10.00,6.00,9.00,0.00,0.00,0.00
62962,0.00,0.00,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62963,1055.00,72.00,0.07,99.00,0.00,478.00,36.00,99.00,6.00,91.00,1.00,210.00,11.00,78.00,18.00
62964,1757.00,236.00,0.13,31.00,0.00,863.00,118.00,143.00,6.00,66.00,0.00,389.00,66.00,265.00,46.00
62965,152.00,36.00,0.24,16.00,0.00,68.00,18.00,8.00,0.00,18.00,16.00,37.00,2.00,5.00,0.00
62966,22115.00,5252.00,0.24,953.00,106.00,10581.00,2573.00,2059.00,484.00,1915.00,452.00,3843.00,931.00,2764.00,706.00
62967,396.00,32.00,0.08,6.00,0.00,195.00,16.00,7.00,1.00,48.00,3.00,54.00,0.00,86.00,12.00
62969,706.00,28.00,0.04,44.00,0.00,331.00,14.00,23.00,4.00,98.00,0.00,79.00,5.00,131.00,5.00
62970,1024.00,88.00,0.09,28.00,4.00,498.00,42.00,93.00,9.00,68.00,8.00,189.00,6.00,148.00,19.00
62972,1399.00,225.00,0.16,121.00,17.00,639.00,104.00,108.00,31.00,37.00,11.00,331.00,46.00,163.00,16.00
62974,2247.00,418.00,0.19,123.00,0.00,1062.00,209.00,132.00,14.00,228.00,95.00,465.00,84.00,237.00,16.00
62975,317.00,54.00,0.17,21.00,0.00,148.00,27.00,54.00,0.00,0.00,0.00,51.00,0.00,43.00,27.00
62976,611.00,84.00,0.14,37.00,0.00,287.00,42.00,48.00,24.00,33.00,0.00,136.00,16.00,70.00,2.00
62977,984.00,166.00,0.17,70.00,0.00,457.00,83.00,72.00,13.00,132.00,41.00,166.00,8.00,87.00,21.00
62979,1610.00,260.00,0.16,80.00,0.00,765.00,130.00,140.00,63.00,127.00,22.00,266.00,20.00,232.00,25.00
62982,1318.00,124.00,0.09,48.00,0.00,635.00,62.00,74.00,26.00,117.00,9.00,256.00,24.00,188.00,3.00
62983,2284.00,420.00,0.18,94.00,4.00,1095.00,208.00,103.00,28.00,238.00,73.00,432.00,104.00,322.00,3.00
62984,2384.00,244.00,0.10,110.00,0.00,1137.00,122.00,169.00,19.00,175.00,16.00,401.00,53.00,392.00,34.00
62985,942.00,152.00,0.16,34.00,0.00,454.00,76.00,45.00,19.00,42.00,18.00,210.00,33.00,157.00,6.00
62987,2138.00,219.00,0.10,196.00,15.00,971.00,102.00,130.00,17.00,195.00,19.00,255.00,5.00,391.00,61.00
62988,2427.00,264.00,0.11,83.00,0.00,1172.00,132.00,162.00,3.00,134.00,24.00,573.00,82.00,303.00,23.00
62990,1205.00,134.00,0.11,31.00,0.00,587.00,67.00,83.00,12.00,68.00,18.00,204.00,13.00,232.00,24.00
62992,1129.00,246.00,0.22,55.00,0.00,537.00,123.00,54.00,28.00,124.00,37.00,223.00,41.00,136.00,17.00
62994,1015.00,134.00,0.13,45.00,0.00,485.00,67.00,88.00,30.00,79.00,9.00,186.00,5.00,132.00,23.00
62995,9625.00,1075.00,0.11,553.00,11.00,4536.00,532.00,1095.00,101.00,901.00,137.00,1592.00,172.00,948.00,122.00
62996,775.00,156.00,0.20,45.00,0.00,365.00,78.00,38.00,9.00,82.00,0.00,138.00,34.00,107.00,35.00
62997,772.00,52.00,0.07,80.00,0.00,346.00,26.00,42.00,0.00,116.00,18.00,149.00,2.00,39.00,6.00
62998,478.00,82.00,0.17,0.00,0.00,239.00,41.00,45.00,0.00,68.00,23.00,101.00,11.00,25.00,7.00
62999,2488.00,208.00,0.08,144.00,2.00,1172.00,103.00,245.00,17.00,207.00,24.00,338.00,41.00,382.00,21.00
63673,2684.00,282.00,0.11,112.00,0.00,1286.00,141.00,132.00,22.00,196.00,37.00,594.00,40.00,364.00,42.00
