zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
62935,"2,500",284,0.1136,108,0,"1,196",110,32,178,33,126,19,542,74,350,16
62938,"4,381",538,0.122803013,291,0,"2,045",164,105,255,26,316,52,790,113,684,78
62939,"4,854","1,080",0.22249691,186,8,"2,334",248,288,236,66,501,186,845,172,752,112
62940,519,58,0.111753372,55,0,232,6,23,23,0,52,4,97,17,60,8
62941,"1,080",168,0.155555556,16,0,532,77,7,111,26,66,30,228,25,127,3
62942,956,67,0.070083682,46,9,455,27,2,42,0,48,5,248,9,117,15
62943,808,61,0.07549505,46,9,381,18,8,12,0,48,12,201,14,120,0
62946,"19,482","2,819",0.14469767,992,15,"9,245",927,475,"1,617",151,"1,605",278,"3,473",581,"2,550",392
62947,970,161,0.165979381,24,11,473,13,62,42,0,9,0,257,27,165,48
62948,"19,026","3,791",0.199253653,"1,170",85,"8,928","1,328",525,"1,710",371,"1,755",521,"3,132",600,"2,331",361
62949,"1,243",108,0.086886565,51,0,596,43,11,124,6,74,5,238,28,160,15
62950,368,44,0.119565217,0,0,184,22,0,34,5,45,17,36,0,69,0
62951,"7,389",768,0.103938287,405,12,"3,492",248,130,611,57,639,39,"1,469",189,773,93
62952,"5,123",858,0.167479992,323,20,"2,400",304,115,401,95,359,74,982,179,658,71
62953,443,40,0.090293454,29,0,207,18,2,24,0,60,14,73,2,50,4
62954,674,22,0.03264095,16,0,329,11,0,42,11,36,0,118,0,133,0
62956,"1,460",154,0.105479452,70,0,695,54,23,111,4,93,5,267,34,224,34
62957,"1,520",109,0.071710526,66,1,727,44,10,116,27,156,9,279,11,176,7
62958,"3,232","1,725",0.533725248,152,31,"1,540",415,432,209,100,309,206,688,367,334,174
62959,"43,181","8,835",0.204603877,"2,211",125,"20,485","2,369","1,986","3,586",890,"3,516",826,"8,029","1,592","5,354","1,047"
62960,"17,010","2,707",0.159141681,828,75,"8,091",970,346,"1,348",302,"1,519",408,"3,042",458,"2,182",148
62961,67,10,0.149253731,5,0,31,5,0,5,3,4,0,22,2,0,0
62962,112,0,0,22,0,45,0,0,0,0,20,0,6,0,19,0
62963,782,52,0.066496164,74,0,354,18,8,55,8,81,8,141,3,77,7
62964,"2,139",215,0.100514259,103,1,"1,018",51,56,158,26,150,23,440,45,270,13
62965,138,8,0.057971014,10,0,64,4,0,5,0,19,4,12,0,28,0
