zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
60115,"59,011","17,865",0.302740167,"14,571","1,293","22,220","4,889","3,397","6,687","3,086","3,992","1,486","7,569","2,498","3,972","1,216"
60118,"23,619","9,146",0.387230619,"1,081",204,"11,269","3,026","1,445","1,659",750,"2,026","1,065","5,239","2,030","2,345",626
60119,"13,904","5,341",0.384134062,822,95,"6,541","1,778",845,733,315,"1,507",744,"3,260","1,404","1,041",160
60120,"66,577","12,654",0.190065638,"5,145",174,"30,716","4,606","1,634","8,058","1,913","7,301","1,239","11,253","2,320","4,104",768
60123,"66,712","13,827",0.20726406,"4,970",187,"30,871","4,540","2,280","7,042","1,532","6,455","1,281","11,925","2,910","5,449","1,097"
60124,"29,579","12,779",0.43202948,"1,247",143,"14,166","3,693","2,625","2,571","1,334","3,154","1,992","5,480","1,963","2,961","1,029"
60126,"66,047","36,054",0.545883992,"4,179",794,"30,934","10,410","7,220","4,365","2,830","6,321","4,537","13,011","7,832","7,237","2,431"
60129,234,40,0.170940171,12,0,111,17,3,23,1,11,5,51,6,26,8
60130,"22,905","10,362",0.452390308,967,226,"10,969","2,877","2,191","2,818","1,831","2,101","1,268","4,256","1,434","1,794",535
60131,"26,889","4,613",0.171557142,"1,701",233,"12,594","1,747",443,"2,531",704,"2,846",503,"4,940",659,"2,277",324
60133,"51,599","11,505",0.222969437,"3,637",295,"23,981","4,108","1,497","5,677","1,354","5,788","1,631","9,645","2,130","2,871",490
