zipcode,male,white,median_age
60145,0.52,0.95,36.8
60146,0.52,0.96,36.7
60148,0.49,0.81,40.5
60150,0.52,0.96,37.8
60151,0.51,0.97,41.5
60152,0.50,0.95,42.6
60153,0.47,0.15,34.2
60154,0.48,0.72,46.5
60155,0.52,0.22,44.6
60156,0.49,0.89,36.1
60157,0.49,0.94,42.8
60160,0.51,0.55,31.5
60162,0.47,0.37,40.3
60163,0.50,0.52,36
60164,0.50,0.68,35.3
60165,0.50,0.46,30.7
60169,0.49,0.56,34.9
60171,0.49,0.85,38.4
60172,0.48,0.84,38.8
60173,0.52,0.50,32
60174,0.47,0.88,43.2
60175,0.54,0.94,40.2
60176,0.51,0.76,37.1
60177,0.48,0.85,36.1
60178,0.48,0.90,37.9
60180,0.48,1.00,51.8
60181,0.51,0.77,36.5
60184,0.51,0.97,47.9
60185,0.52,0.85,33.8
60187,0.49,0.89,36.5
60188,0.50,0.75,38
60189,0.48,0.87,40.8
60190,0.51,0.92,45.6
60191,0.49,0.86,41.4
60192,0.49,0.66,41.9
60193,0.48,0.76,41.9
60194,0.47,0.62,37.9
60195,0.49,0.50,31.8
60201,0.49,0.69,31
60202,0.46,0.66,38.5
60203,0.48,0.74,42.3
60301,0.40,0.62,45.7
60302,0.47,0.68,39.5
60304,0.47,0.69,38
60305,0.48,0.82,41.6
60401,0.52,0.93,46
60402,0.49,0.67,35.2
60403,0.52,0.69,38.3
60404,0.46,0.83,38.7
60406,0.50,0.42,34.2
60407,0.52,0.97,35.3
60408,0.54,0.98,40.5
60409,0.45,0.21,36.1
60410,0.49,0.93,36.3
60411,0.48,0.35,33.8
60415,0.51,0.79,32.6
60416,0.48,0.96,34.8
60417,0.51,0.74,48.3
60419,0.46,0.07,36.4
60420,0.40,0.86,40.6
60421,0.51,0.95,42.2
60422,0.46,0.45,47.8
60423,0.49,0.91,41
60424,0.51,0.97,41.7
60425,0.50,0.26,42.8
60426,0.48,0.11,37.2
60428,0.45,0.14,37.2
60429,0.48,0.13,38.8
60430,0.47,0.52,42.1
60431,0.49,0.80,33.9
60432,0.51,0.50,30
60433,0.51,0.46,34.6
60435,0.48,0.69,35.6
60436,0.51,0.63,32.1
60437,0.49,1.00,52.3
60438,0.47,0.57,42.1
60439,0.48,0.95,43
60440,0.49,0.51,33.4
60441,0.51,0.87,36.2
60442,0.52,0.97,34.7
60443,0.46,0.22,41.1
60444,0.53,0.95,35.4
60445,0.49,0.83,39
60446,0.48,0.61,32.6
60447,0.49,0.93,33.6
60448,0.51,0.95,40.6
60449,0.49,0.84,42.1
60450,0.51,0.95,41.4
60451,0.49,0.93,38.3
60452,0.49,0.87,38.2
60453,0.49,0.85,41
60455,0.47,0.87,38.1
60456,0.39,0.93,41
60457,0.51,0.90,38.6
60458,0.47,0.70,31.6
60459,0.49,0.84,36.5
60460,0.51,0.99,43.5
60461,0.46,0.24,53.3
60462,0.47,0.88,45.3
60463,0.47,0.94,51.5
60464,0.46,0.92,52.2
60465,0.46,0.88,41.8
60466,0.46,0.29,35.8
60467,0.47,0.91,46.3
60468,0.53,0.99,40.7
60469,0.51,0.65,30.6
60470,0.50,1.00,42.8
60471,0.45,0.13,39.5
60472,0.54,0.05,38.7
60473,0.47,0.19,42.4
60474,0.53,0.99,38.3
60475,0.50,0.69,38
60476,0.46,0.85,40.3
60477,0.48,0.86,39.9
60478,0.49,0.13,38.1
60479,0.50,0.99,40.1
60480,0.46,0.88,45.1
60481,0.51,0.95,44.2
60482,0.51,0.92,36.4
60484,0.48,0.05,30.4
60487,0.49,0.87,38
60490,0.49,0.60,35.6
60491,0.50,0.97,44.9
60501,0.52,0.70,32.1
60502,0.49,0.68,34.9
60503,0.50,0.71,32.1
60504,0.47,0.66,33
60505,0.51,0.40,28.9
60506,0.49,0.61,33.8
60510,0.48,0.92,41.5
60511,0.53,0.95,45.8
60512,0.58,0.81,42.1
60513,0.46,0.90,39.3
60514,0.47,0.89,39.8
60515,0.48,0.90,42.5
60516,0.49,0.86,44
60517,0.50,0.72,38
60518,0.51,0.98,45.3
60519,0.18,1.00,18.4
60520,0.52,0.95,39.2
60521,0.48,0.88,41.7
60523,0.46,0.72,57.4
60525,0.49,0.90,43.2
60526,0.50,0.94,42.3
60527,0.48,0.71,44.1
60530,0.53,0.95,44.2
60531,0.51,0.99,46.5
60532,0.49,0.80,36.6
60534,0.53,0.87,36.1
60536,0.46,0.98,42.9
60537,0.55,1.00,38.9
60538,0.50,0.78,33.5
60539,0.82,0.70,56.7
60540,0.49,0.79,39
60541,0.51,0.96,39.2
60542,0.49,0.78,37.2
60543,0.49,0.85,36.3
60544,0.48,0.82,37.2
60545,0.49,0.83,32.3
60546,0.48,0.87,41.9
60548,0.48,0.95,39
60549,0.57,1.00,37.3
60550,0.50,0.94,37.8
60551,0.64,0.78,38.9
60552,0.55,0.96,45
60553,0.54,0.97,40.8
60554,0.52,0.90,41.9
60555,0.51,0.85,38.4
60556,0.48,0.97,35.7
60557,0.48,1.00,-
60558,0.48,0.98,43.2
60559,0.46,0.73,39.8
60560,0.51,0.88,34.7
60561,0.49,0.81,46.8
60563,0.49,0.74,36.4
60564,0.50,0.67,38.9
60565,0.48,0.75,41.4
60585,0.51,0.81,36
60586,0.49,0.78,31.1
60601,0.51,0.71,36.2
60602,0.50,0.85,25.9
60603,0.43,0.64,27.1
60604,0.56,0.70,46.4
60605,0.48,0.60,32.7
60606,0.51,0.77,31.5
60607,0.50,0.60,30.3
60608,0.55,0.47,31.7
60609,0.49,0.48,31.4
60610,0.45,0.74,33.1
60611,0.46,0.75,38.4
60612,0.49,0.25,30.5
60613,0.51,0.84,31.9
60614,0.50,0.86,30.1
60615,0.47,0.27,33.1
60616,0.48,0.27,36
60617,0.46,0.36,36.3
60618,0.50,0.81,33.5
60619,0.44,0.01,39.8
60620,0.44,0.02,39.6
60621,0.45,0.02,31.2
60622,0.52,0.75,31.3
60623,0.49,0.47,28.5
60624,0.47,0.03,28.8
60625,0.52,0.64,34
60626,0.50,0.60,34.4
60628,0.44,0.04,37.7
60629,0.49,0.35,30.4
60630,0.49,0.72,39.3
60631,0.48,0.92,43.5
60632,0.51,0.55,30.7
60633,0.51,0.68,36.9
60634,0.49,0.78,39
60636,0.48,0.02,34.3
60637,0.45,0.15,30
60638,0.48,0.74,37.7
60639,0.50,0.34,31.3
60640,0.51,0.62,37.4
60641,0.50,0.66,35.7
60642,0.50,0.75,31.5
60643,0.46,0.23,43.8
60644,0.45,0.03,32.7
60645,0.49,0.59,35.8
60646,0.48,0.84,43.8
60647,0.51,0.76,31.4
60649,0.43,0.03,37.7
60651,0.47,0.13,33.4
60652,0.49,0.28,36.2
60653,0.43,0.05,36.2
60654,0.46,0.78,32.5
60655,0.49,0.89,37.8
60656,0.49,0.83,40.1
60657,0.49,0.86,30.9
60659,0.52,0.55,34.3
60660,0.51,0.67,36.8
60661,0.50,0.62,31
60706,0.47,0.93,46.8
60707,0.47,0.72,37.8
60712,0.48,0.63,47
60714,0.46,0.77,49.5
60803,0.48,0.71,33.7
60804,0.51,0.45,28.5
60805,0.47,0.75,39.6
60827,0.46,0.05,31
60901,0.49,0.65,36.4
60910,0.52,0.91,38.2
60911,0.54,0.98,40
60912,0.53,0.79,30.7
60913,0.50,0.96,53.3
60914,0.48,0.84,33.4
60915,0.50,0.94,35.5
60917,0.51,0.99,34.5
60918,0.55,0.98,50.3
60919,0.54,0.98,38.2
60920,0.42,0.97,31.5
60921,0.51,0.96,43.8
60922,0.47,0.93,40.7
60924,0.49,0.99,45.6
60926,0.28,1.00,55.4
60927,0.49,0.99,39.8
60928,0.45,0.99,41.1
60929,0.46,0.93,29.4
60930,0.46,0.99,41
60931,0.49,0.98,40.8
60932,0.61,1.00,22.7
60933,0.50,0.99,47.9
60934,0.52,0.99,36.6
60935,0.52,0.98,38.2
60936,0.47,0.97,40.8
60938,0.47,0.91,44.4
60940,0.51,0.97,39.2
60941,0.55,0.99,42.5
60942,0.48,0.95,45.5
60945,0.50,0.97,53.6
60946,0.49,0.98,46.2
60948,0.52,0.98,44.7
60949,0.50,0.93,33.5
60950,0.49,0.96,42.2
60951,0.52,0.99,46.7
60952,0.47,0.98,38.2
60953,0.47,0.96,48.1
60954,0.48,0.90,43.7
60955,0.54,0.88,40.4
60957,0.51,0.98,46.9
60958,0.46,0.16,41.3
60959,0.50,0.99,42.8
60960,0.55,0.97,40.1
60961,0.53,0.98,40.6
60962,0.56,0.99,37.7
60963,0.50,0.99,36.6
60964,0.50,0.85,40
60966,0.53,0.95,37.6
60968,0.50,0.94,55.1
60969,0.52,1.00,14.5
60970,0.45,0.93,47.2
60973,0.48,0.97,35.1
60974,0.51,0.98,44.8
61001,0.54,0.98,46.7
61006,0.53,0.95,47.1
61007,0.51,0.98,47.4
61008,0.48,0.85,38.5
61010,0.49,0.98,40.2
61011,0.53,0.91,53.2
61012,0.56,0.84,35.8
61013,0.47,0.98,52.8
61014,0.47,0.98,42.4
61015,0.52,1.00,52.8
61016,0.52,0.89,50.2
61018,0.52,0.96,40.6
61019,0.49,0.98,50.5
61020,0.50,0.91,34.2
61021,0.55,0.89,42.8
61024,0.49,0.98,45.4
61025,0.53,0.96,41
61027,0.00,1.00,-
61028,0.52,0.99,46.7
61030,0.49,0.94,40
61031,0.50,0.97,39.8
61032,0.47,0.80,44.2
61036,0.48,0.98,54.9
61037,0.40,1.00,42.1
61038,0.52,1.00,53.2
61039,0.51,0.99,41.7
61041,0.53,0.94,52.4
61042,0.54,1.00,34.2
61043,0.65,0.83,46.2
61044,0.40,1.00,44.5
61046,0.48,0.96,48.5
61047,0.47,0.97,49.1
61048,0.47,0.98,46.5
61049,0.51,0.94,41.9
61050,0.52,1.00,39.4
61051,0.51,0.97,46.4
61052,0.51,0.99,47.3
61053,0.49,0.97,47.2
61054,0.44,1.00,45.5
61057,0.52,0.85,36.7
61059,0.42,1.00,37.8
61060,0.52,0.99,40.6
61061,0.48,0.98,51
61062,0.54,0.99,40.5
61063,0.49,0.96,41.4
61064,0.51,0.99,46.7
61065,0.52,0.93,34.1
61067,0.51,1.00,52.5
61068,0.52,0.89,36.5
61070,0.54,0.98,44.5
61071,0.50,0.92,43.1
61072,0.48,0.96,41.9
61073,0.48,0.94,41.9
61074,0.52,0.93,46.7
61075,0.48,0.99,45.9
61077,0.72,1.00,55.2
61078,0.49,0.95,50.6
61079,0.62,0.95,32.3
61080,0.49,0.93,36.6
61081,0.48,0.89,42.2
61084,0.48,0.98,38.8
61085,0.49,0.99,43.8
61087,0.52,0.98,45.7
61088,0.51,0.95,41
61089,0.50,0.99,48.6
61091,0.43,1.00,53.7
61101,0.50,0.52,33.7
61102,0.51,0.52,34.3
61103,0.50,0.74,39.5
61104,0.48,0.58,30.5
61107,0.48,0.81,42.5
61108,0.50,0.81,40.3
61109,0.50,0.75,37.4
61111,0.49,0.91,38.4
61112,0.27,1.00,89.5
61114,0.45,0.84,49.1
61115,0.48,0.92,39.2
61201,0.47,0.72,35.4
61230,0.50,0.98,44.9
61231,0.50,0.98,46.1
61232,0.52,0.98,42.6
61234,0.50,0.94,43.4
61235,0.53,0.99,43.4
61236,0.56,0.75,24.1
61238,0.52,0.96,41.9
61239,0.49,0.67,27.2
61240,0.49,0.97,42.6
61241,0.48,0.96,41.2
61242,0.50,1.00,50.7
61243,0.45,1.00,57.4
61244,0.51,0.76,39.2
61250,0.45,0.90,39.3
61251,0.52,0.97,55.5
61252,0.52,0.96,46.1
61254,0.48,0.97,42.9
61256,0.50,0.94,48
61257,0.44,0.96,44.8
61258,0.54,1.00,30.4
61259,0.51,0.91,47.7
61260,0.51,0.99,43.6
61261,0.52,0.96,43.2
61262,0.48,0.99,50.3
61263,0.48,0.93,35.6
61264,0.52,0.95,47.3
61265,0.49,0.86,39.6
61270,0.51,0.96,42.9
61272,0.45,0.97,46.6
61273,0.51,0.98,47.6
61274,0.58,1.00,52.7
61275,0.52,0.97,42.9
61276,0.39,0.51,26.3
61277,0.50,0.97,48.3
61278,0.47,0.93,47.8
61279,0.53,0.98,47
61281,0.50,0.97,42.5
61282,0.47,0.82,39.7
61283,0.51,0.98,34.5
61284,0.50,0.96,48.6
61285,0.52,0.99,48.4
61301,0.55,0.96,39.5
61310,0.49,0.98,43.6
61311,0.49,1.00,62.9
61312,0.47,0.96,44.7
61313,0.58,1.00,42.9
61314,0.48,0.96,39.9
61315,0.53,0.93,40.8
61316,0.46,0.94,33.5
61317,0.52,0.97,41.8
61318,0.49,0.81,32.5
61319,0.51,0.99,44.4
61320,0.52,0.94,45.4
61321,0.53,0.93,60.1
61322,0.54,0.76,33.1
61323,0.34,1.00,40.3
61324,0.60,1.00,57.4
61325,0.51,0.99,38.6
61326,0.48,0.97,42.5
61327,0.54,0.98,49.7
61328,0.50,1.00,-
61329,0.46,0.98,41.2
61330,0.52,0.96,48
61331,0.55,1.00,-
61332,0.59,0.95,49.9
61333,0.50,0.98,52.9
61334,0.49,0.98,40.5
61335,0.52,0.99,49.7
61336,0.56,0.92,34.3
61337,0.47,0.97,31.7
61338,0.54,0.98,39.2
61340,0.49,0.98,46
61341,0.48,0.98,40.7
61342,0.49,0.91,39.9
61344,0.48,0.97,40
61345,0.52,0.98,41.8
61346,0.52,0.99,58.6
61348,0.49,0.98,40.9
61349,0.51,0.99,45.9
61350,0.49,0.92,43
61353,0.49,0.97,41.3
61354,0.48,0.98,45
61356,0.47,0.97,47.1
61358,0.59,0.98,52.9
61359,0.48,0.98,42.8
61360,0.56,0.98,34.9
61361,0.48,0.99,48.3
61362,0.48,0.89,42.1
61363,0.48,0.90,44.1
61364,0.48,0.92,41.2
61367,0.46,1.00,45.7
61368,0.53,0.99,49.5
61369,0.46,0.86,48.1
61370,0.53,0.99,44.6
61372,0.55,1.00,37
61373,0.51,0.98,47.9
61374,0.38,1.00,48.3
61375,0.51,0.99,56.6
61376,0.51,0.98,40.6
61377,0.50,0.98,39.5
61378,0.53,0.97,43.4
61379,0.54,0.97,35.6
61401,0.50,0.82,41.4
61410,0.47,0.95,40.4
61411,0.47,1.00,57.3
61412,0.47,0.98,44.8
61413,0.50,0.99,51.7
61414,0.51,0.96,46
61415,0.53,0.98,46
61416,0.45,0.96,39.2
61417,0.48,1.00,59.7
61418,0.50,0.98,51.5
61419,0.54,0.98,54.7
61420,0.50,0.97,53
61421,0.52,0.98,38.3
61422,0.53,0.94,40.3
61423,0.48,1.00,47.4
61424,0.57,1.00,37.5
61425,0.53,1.00,58.5
61426,0.46,1.00,57.1
61427,0.46,0.95,45.2
61428,0.54,0.98,52.5
61430,0.50,0.98,41.8
61431,0.53,0.88,44.4
61432,0.51,0.99,39.8
61434,0.53,0.98,43.9
61435,0.35,1.00,52.1
61436,0.52,0.99,48.2
61437,0.49,0.99,44.4
61438,0.53,0.99,46.9
61439,0.51,0.96,50
61440,0.46,0.98,41.1
61441,0.52,0.96,43.1
61442,0.48,0.97,43.6
61443,0.50,0.86,39
61447,0.49,1.00,42.8
61448,0.50,0.99,45.8
61449,0.53,1.00,49.1
61450,0.51,0.98,41.4
61451,0.55,0.98,40.9
61452,0.52,1.00,43
61453,0.51,1.00,36.6
61454,0.46,0.98,53.6
61455,0.48,0.87,26.2
61458,0.52,1.00,43.3
61459,0.40,0.92,48.3
61460,0.46,0.99,54.8
61462,0.49,0.87,36.3
61465,0.54,0.99,42
61466,0.55,1.00,50
61467,0.50,0.96,39.3
61468,0.53,1.00,50.8
61469,0.52,0.96,49.4
61470,0.52,0.98,38.3
61471,0.61,0.95,55.5
61472,0.52,0.95,46.3
61473,0.49,0.98,37.9
61474,0.42,1.00,54.3
61475,0.44,1.00,40.9
61476,0.50,1.00,39.8
61477,0.47,1.00,49.6
61478,0.43,0.97,38.7
61479,0.72,1.00,32.5
61480,0.44,0.99,49.1
61482,0.48,0.99,43.5
61483,0.49,0.97,45.1
61484,0.47,0.96,39
61485,0.55,1.00,48.6
61486,0.51,0.98,44
61488,0.48,0.96,44.5
61489,0.51,1.00,39.9
61490,0.53,0.96,37.6
61491,0.47,0.98,48.4
61501,0.53,0.94,38
61516,0.55,0.98,36.4
61517,0.55,0.93,46
61519,0.52,0.99,48.5
61520,0.55,0.92,40.2
61523,0.51,0.97,43
61524,0.49,1.00,34.6
61525,0.50,0.81,35.9
61526,0.47,0.90,40
61528,0.50,0.87,41.8
61529,0.50,0.99,43.3
61530,0.46,0.97,38.5
61531,0.49,0.98,39.2
61532,0.48,1.00,47.2
61533,0.49,0.97,45.1
61534,0.49,0.98,48.4
61535,0.55,0.98,47.9
61536,0.47,0.97,44.8
61537,0.47,0.98,43.1
61539,0.46,0.97,36.9
61540,0.49,0.99,46.8
61541,0.46,1.00,40.7
61542,0.49,0.98,49.4
61543,0.49,1.00,44.6
61544,0.52,0.99,49.8
61545,0.51,0.99,39.7
61546,0.53,0.98,45.2
61547,0.50,0.98,41.1
61548,0.51,0.96,39.7
61550,0.49,0.96,40.7
61552,0.47,1.00,32.5
61553,0.48,1.00,39.3
61554,0.49,0.96,39.7
61559,0.49,0.99,41.2
61560,0.50,1.00,64
61561,0.51,0.99,45.2
61562,0.66,1.00,48.4
61563,0.52,0.96,44.2
61564,0.51,1.00,34
61565,0.51,0.98,47.4
61567,0.56,0.97,46.8
61568,0.52,0.98,39.6
61569,0.47,0.91,51.6
61570,0.52,0.97,33
61571,0.49,0.95,39.3
61572,0.53,0.96,40.9
61602,0.73,0.60,44.7
61603,0.45,0.49,29.9
61604,0.47,0.66,37.8
61605,0.48,0.33,30.6
61606,0.51,0.73,21.8
61607,0.51,0.98,40.8
61610,0.48,0.97,40.6
61611,0.49,0.94,43
61614,0.48,0.80,40.9
61615,0.48,0.73,35.9
61616,0.49,0.87,38.4
61625,0.60,0.86,20.2
61701,0.48,0.80,33.8
61704,0.50,0.76,35.2
61705,0.48,0.86,36.1
61720,0.54,0.99,34.6
61721,0.56,0.99,33.8
61722,0.50,0.95,34.9
61723,0.45,0.95,39.1
61724,0.50,0.98,46.2
61725,0.51,0.96,44.9
61726,0.50,0.97,43.7
61727,0.50,0.95,41.7
61728,0.49,0.96,42.2
61729,0.50,0.99,44
61730,0.53,0.99,43.5
61731,0.44,1.00,44.4
61732,0.51,0.98,38.4
61733,0.51,0.90,40.2
61734,0.49,0.96,39
61735,0.49,0.98,43.2
61736,0.49,0.98,40.5
61737,0.45,0.99,37.2
61738,0.47,0.94,36.2
61739,0.50,0.99,40.4
61740,0.45,0.98,46.4
61741,0.49,0.98,31.4
61742,0.51,0.99,36.9
61743,0.50,1.00,51.2
61744,0.51,0.98,41.1
61745,0.50,0.95,38.2
61747,0.47,0.99,45.1
61748,0.48,0.99,49.2
61749,0.51,1.00,49.5
61750,0.54,1.00,35.8
61751,0.43,1.00,59.4
61752,0.50,0.98,41
61753,0.50,0.98,40.9
61754,0.48,0.99,44.3
61755,0.51,0.99,40.9
61756,0.52,0.92,42.2
61759,0.45,0.99,39.5
61760,0.48,0.98,39.7
61761,0.47,0.84,23.8
61764,0.56,0.88,41
61769,0.50,0.98,45.6
61770,0.48,0.99,43
61771,0.55,0.99,32.4
61772,0.58,1.00,48.2
61773,0.53,0.98,37.8
61774,0.50,0.87,38.4
61775,0.51,0.99,40.6
61776,0.46,0.99,41.5
61777,0.53,0.98,46.4
61778,0.51,0.99,48.2
61801,0.51,0.58,23
61802,0.47,0.74,37.1
61810,0.46,0.98,51.2
61811,0.55,0.98,36.5
61812,0.44,0.99,42.9
61813,0.51,0.94,43.2
61814,0.52,0.96,37.8
61815,0.43,0.96,43.6
61816,0.54,0.97,38.4
61817,0.52,1.00,37.2
61818,0.47,0.95,35.7
61820,0.53,0.67,22
61821,0.48,0.69,35
61822,0.49,0.70,37.8
61830,0.52,0.91,40.1
61831,0.56,0.84,60.4
61832,0.47,0.68,37.4
61833,0.42,0.98,49.6
61834,0.57,0.88,42.6
61839,0.53,0.96,42.9
61840,0.55,1.00,42.4
61841,0.49,0.99,45.4
61842,0.51,0.98,44.8
61843,0.51,0.99,41.9
61844,0.49,0.97,49.1
61845,0.41,1.00,41.9
61846,0.53,0.97,41.8
61847,0.49,0.96,44.1
61848,0.48,1.00,31.1
61849,0.48,0.98,44.2
61850,0.50,0.99,36.7
61851,0.47,0.99,44.9
61852,0.55,0.98,54.6
61853,0.49,0.95,38.3
61854,0.49,0.96,42.9
61855,0.55,1.00,34.2
61856,0.48,0.99,44.1
61857,0.51,1.00,37.8
61858,0.50,0.98,44.8
61859,0.51,0.99,41.6
61862,0.50,0.94,41.9
61863,0.50,0.98,53.3
61864,0.50,0.99,36.2
61865,0.54,0.97,37.8
61866,0.50,0.69,33.1
61870,0.52,0.98,41.4
61871,0.46,0.98,46.6
61872,0.50,1.00,44.3
61873,0.47,0.96,35.9
61874,0.47,0.73,31.8
61875,0.36,0.92,30.9
61876,0.44,1.00,47.1
61877,0.53,0.97,35.9
61878,0.50,0.96,45.4
61880,0.53,0.98,34.7
61882,0.53,0.97,44.5
61883,0.54,0.95,40.3
61884,0.52,0.99,49.1
61910,0.48,0.95,34.9
61911,0.50,0.98,31.3
61912,0.47,0.97,46.8
61913,0.50,0.98,46.7
61914,0.48,1.00,39.5
61917,0.49,0.98,35.8
61919,0.50,1.00,47.6
61920,0.48,0.89,25
61924,0.50,0.99,47.7
61925,0.52,1.00,45.4
61928,0.55,0.94,50.6
61929,0.56,0.99,42.2
61930,0.49,0.95,35.1
61931,0.50,1.00,42.7
61932,0.46,0.98,36.2
61933,0.49,0.99,44.3
61936,0.48,0.94,39.2
61937,0.52,0.98,38.7
61938,0.48,0.96,40
61940,0.47,0.96,41.9
61941,0.45,1.00,53.7
61942,0.48,0.96,43.4
61943,0.49,1.00,52.2
61944,0.49,0.99,44
61949,0.47,1.00,53.4
61951,0.48,0.99,41.6
61953,0.49,0.96,38.7
61955,0.52,1.00,40.4
61956,0.48,0.96,45.5
61957,0.53,0.99,36.8
62001,0.52,1.00,44.2
62002,0.48,0.74,39.4
62006,0.50,1.00,41.3
62009,0.50,0.97,37
62010,0.51,0.97,39.2
62011,0.49,0.98,57.5
62012,0.52,1.00,42.4
62013,0.50,0.99,43.5
62014,0.50,0.95,46.8
62015,0.39,0.96,50.7
62016,0.50,0.99,44.9
62017,0.44,0.95,52.9
62018,0.54,0.92,38.3
62019,0.41,0.99,56.2
62021,0.47,1.00,56.6
62022,0.55,1.00,46.7
62023,0.42,0.96,35.9
62024,0.50,0.97,44.1
62025,0.49,0.88,34.9
62027,0.50,1.00,54.9
62028,0.44,0.87,21
62030,0.38,1.00,30.1
62031,0.52,0.99,48.7
62032,0.37,0.97,48.4
62033,0.51,0.96,43.2
62034,0.48,0.85,36.2
62035,0.48,0.92,45.6
62036,0.50,1.00,57
62037,0.49,0.94,47
62040,0.50,0.91,40.6
62044,0.49,1.00,39.2
62045,0.47,0.99,49.2
62046,0.47,0.97,33.6
62047,0.51,0.99,46.9
62048,0.49,0.99,39.9
62049,0.69,0.73,38.1
62050,0.50,1.00,33.7
62051,0.48,1.00,44.4
62052,0.47,0.98,40.8
62053,0.56,0.99,37.3
62054,0.55,0.91,43.3
62056,0.45,0.98,43.8
62058,0.49,0.99,43.4
62059,0.34,0.01,25.3
62060,0.49,0.33,36.3
62061,0.54,0.99,41.1
62062,0.50,0.92,42.8
62063,0.51,0.99,44.4
62065,0.47,0.63,49.3
62067,0.48,0.97,46.7
62069,0.49,0.99,42.5
62070,0.30,0.63,79.4
62074,0.49,0.98,37.2
62075,0.38,0.98,41.3
62076,0.47,0.96,41.5
62077,0.47,1.00,35.6
62078,0.52,0.90,36.5
62079,0.46,1.00,32.8
62080,0.51,0.96,40.6
62081,0.52,0.99,38.8
62082,0.54,0.95,43.2
62083,0.65,0.70,44
62084,0.49,0.99,37.4
62085,0.47,0.95,45.5
62086,0.48,0.98,43.8
62087,0.50,0.96,32.1
62088,0.48,0.98,47.8
62089,0.46,1.00,40.8
62090,0.45,0.02,31.5
62091,0.46,1.00,56.9
62092,0.48,0.99,43.9
62093,0.55,0.98,35.3
62094,0.43,0.95,46
62095,0.46,0.97,40
62097,0.48,0.97,40.5
62098,0.29,1.00,70.7
62201,0.43,0.30,23.8
62203,0.46,0.05,43.8
62204,0.48,0.02,34.6
62205,0.48,0.01,42.8
62206,0.47,0.35,33.5
62207,0.46,0.02,32.7
62208,0.48,0.64,40.9
62214,0.50,0.99,42
62215,0.52,0.93,36
62216,0.51,0.98,37.3
62217,0.55,0.99,40.3
62218,0.55,1.00,42.8
62219,0.45,0.98,47.5
62220,0.47,0.77,36.4
62221,0.49,0.71,38.5
62223,0.47,0.77,42.4
62225,0.54,0.73,22.6
62226,0.49,0.71,39.2
62230,0.48,0.97,39.2
62231,0.49,0.94,40
62232,0.49,0.86,38.8
62233,0.64,0.77,39.3
62234,0.49,0.88,38.4
62236,0.48,0.97,42.1
