zipcode,male,white,median_age
60002,0.52,0.93,40.6
60004,0.48,0.85,41.8
60005,0.50,0.84,42.5
60007,0.49,0.82,42.8
60008,0.48,0.71,37.2
60010,0.48,0.88,47.3
60012,0.49,0.96,45.9
60013,0.51,0.91,41.1
60014,0.49,0.93,38.6
60015,0.48,0.91,42.9
60016,0.50,0.67,40.1
60018,0.53,0.71,39
60020,0.49,0.91,40.9
60021,0.49,0.91,35.4
60022,0.51,0.95,44
60025,0.47,0.81,44.5
60026,0.48,0.78,45
60029,0.55,0.95,42
60030,0.49,0.87,40.2
60031,0.49,0.75,38.7
60033,0.51,0.83,32.3
60034,0.49,0.92,43.4
60035,0.50,0.93,45.8
60040,0.49,0.89,36.5
60041,0.50,0.92,41.4
60042,0.49,0.92,37.3
60043,0.50,0.95,42.5
60044,0.46,0.87,44.1
60045,0.49,0.92,46.3
60046,0.50,0.89,38.8
60047,0.50,0.86,42.5
60048,0.49,0.91,44.9
60050,0.50,0.92,39.5
60051,0.50,0.93,39
60053,0.48,0.62,45.2
60056,0.50,0.74,39.3
60060,0.50,0.84,37.5
60061,0.50,0.70,38.1
60062,0.48,0.83,48.3
60064,0.49,0.43,28.9
60067,0.49,0.79,43.3
60068,0.48,0.92,44.8
60069,0.47,0.88,52.4
60070,0.49,0.76,37.4
60071,0.51,0.95,45.4
60072,0.47,0.94,40.2
60073,0.51,0.82,31.6
60074,0.50,0.65,34.2
60076,0.49,0.62,45.3
60077,0.45,0.59,41.9
60081,0.51,0.98,42.2
60083,0.49,0.68,39.9
60084,0.51,0.91,38.3
60085,0.50,0.66,29.9
60087,0.49,0.66,35.6
60088,0.73,0.72,21.3
60089,0.49,0.77,42.7
60090,0.49,0.67,36.5
60091,0.50,0.83,43.6
60093,0.50,0.91,43.5
60096,0.48,0.95,41.3
60097,0.57,0.96,38
60098,0.50,0.90,38.7
60099,0.48,0.60,33.5
60101,0.49,0.83,34.1
60102,0.49,0.90,40.1
60103,0.51,0.77,39.2
60104,0.47,0.14,36.8
60106,0.49,0.78,35.5
60107,0.51,0.60,36.6
60108,0.47,0.80,43.7
60109,0.46,0.99,41.8
60110,0.51,0.63,30.2
60111,0.49,1.00,63.6
60112,0.49,0.88,29.3
60113,0.46,0.98,39.7
60115,0.49,0.73,24.4
60118,0.52,0.88,43.8
60119,0.49,0.97,42.1
60120,0.50,0.60,31.8
60123,0.50,0.69,34.2
60124,0.50,0.76,39.4
60126,0.49,0.90,40.2
60129,0.49,1.00,38.3
60130,0.47,0.56,39.8
60131,0.48,0.78,39.2
60133,0.51,0.51,33.8
60134,0.50,0.93,41.2
60135,0.51,0.97,40.2
60136,0.52,0.71,32.3
60137,0.49,0.87,41.6
60139,0.52,0.60,33.2
60140,0.49,0.88,39.1
60141,1.00,0.54,65
60142,0.47,0.90,45.7
60143,0.50,0.89,41.4
60144,0.50,0.64,41.5
