X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,POPULATION,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,FT_TEACHER
-87.62764409,41.74662726,77326,1.70993E+11,LENART ELEM REGIONAL GIFTED CTR,8101 S LA SALLE ST,CHICAGO,IL,60620,1223,301,COOK,17031,41.74662726,-87.62764409,1,287,PK,8,14
-87.710563,41.86856,77765,1.70993E+11,FORD POWER HOUSE CHARTER HS,931 S HOMAN AVE,CHICAGO,IL,60624,4108,101,COOK,17031,41.86856,-87.710563,3,95,12,12,6
-87.6997941,41.84763675,78289,1.70993E+11,SPRY ELEM COMMUNITY SCHOOL,2400 S MARSHALL BLVD,CHICAGO,IL,60623,4146,711,COOK,17031,41.84763675,-87.6997941,1,670,PK,8,41
-87.77266972,41.96568815,78608,1.70993E+11,PRUSSING ELEM SCHOOL,4650 N MENARD AVE,CHICAGO,IL,60630,3348,726,COOK,17031,41.96568815,-87.77266972,1,688,PK,8,38
-87.68083075,41.87959811,78683,1.70993E+11,DETT ELEM SCHOOL,2131 W MONROE ST,CHICAGO,IL,60612,3014,462,COOK,17031,41.87959811,-87.68083075,1,429,PK,8,33
-87.71836968,41.86183389,78731,1.70993E+11,HERZL ELEM SCHOOL,3711 W DOUGLAS BLVD,CHICAGO,IL,60623,1413,613,COOK,17031,41.86183389,-87.71836968,1,581,PK,8,32
-87.6647943,41.86871361,78883,1.70993E+11,STEM MAGNET ACADEMY ELEM,1522 W FILLMORE ST,CHICAGO,IL,60607,4614,417,COOK,17031,41.86871361,-87.6647943,1,392,KG,6,25
-87.76707587,41.89018825,79047,1.70993E+11,DOUGLASS ACADEMY HIGH SCHOOL,543 N WALLER AVE,CHICAGO,IL,60644,1451,255,COOK,17031,41.89018825,-87.76707587,3,237,9,12,18
-87.70466299,41.73664663,79081,1.70993E+11,PATHWAYS IN EDUCATION HS,3270 W 87TH ST,CHICAGO,IL,60652,3768,819,COOK,17031,41.73664663,-87.704663,3,780,9,12,39
-87.68833654,41.7933082,85211,1.70993E+11,CARSON ELEM SCHOOL,5516 S MAPLEWOOD AVE,CHICAGO,IL,60629,1023,1212,COOK,17031,41.7933082,-87.68833654,1,1153,PK,8,59
-87.68460084,42.01062624,85327,1.70993E+11,ARMSTRONG G ELEM INTL STUDIES,2110 W GREENLEAF AVE,CHICAGO,IL,60645,3620,1516,COOK,17031,42.01062624,-87.68460084,1,1437,PK,8,79
