"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"22533","9327","8600000US60185","ZCTA5 60185"
"24742","9334","8600000US60187","ZCTA5 60187"
"30498","5987","8600000US60188","ZCTA5 60188"
"22757","5377","8600000US60189","ZCTA5 60189"
"78009","59154","8600000US60190","ZCTA5 60190"
"32864","18643","8600000US60191","ZCTA5 60191"
"46349","27981","8600000US60192","ZCTA5 60192"
"39927","9651","8600000US60193","ZCTA5 60193"
"21827","7651","8600000US60194","ZCTA5 60194"
"27769","13115","8600000US60195","ZCTA5 60195"
"23744","3282","8600000US60201","ZCTA5 60201"
"29450","6517","8600000US60202","ZCTA5 60202"
"17294","6855","8600000US60203","ZCTA5 60203"
"59434","20786","8600000US60301","ZCTA5 60301"
"42560","7029","8600000US60302","ZCTA5 60302"
"48306","12158","8600000US60304","ZCTA5 60304"
"72598","30105","8600000US60305","ZCTA5 60305"
"28357","9899","8600000US60401","ZCTA5 60401"
"22328","3996","8600000US60402","ZCTA5 60402"
"15661","1865","8600000US60403","ZCTA5 60403"
"37348","12742","8600000US60404","ZCTA5 60404"
"21043","3158","8600000US60406","ZCTA5 60406"
"-","**","8600000US60407","ZCTA5 60407"
"6600","7656","8600000US60408","ZCTA5 60408"
"23629","1953","8600000US60409","ZCTA5 60409"
"22926","8651","8600000US60410","ZCTA5 60410"
"22053","1918","8600000US60411","ZCTA5 60411"
"35284","9957","8600000US60415","ZCTA5 60415"
"30628","22376","8600000US60416","ZCTA5 60416"
"50739","31608","8600000US60417","ZCTA5 60417"
"22274","1738","8600000US60419","ZCTA5 60419"
"null","null","8600000US60420","ZCTA5 60420"
"null","null","8600000US60421","ZCTA5 60421"
"41178","7981","8600000US60422","ZCTA5 60422"
"48548","15126","8600000US60423","ZCTA5 60423"
"-","**","8600000US60424","ZCTA5 60424"
"27113","2671","8600000US60425","ZCTA5 60425"
"20596","2221","8600000US60426","ZCTA5 60426"
"19036","3245","8600000US60428","ZCTA5 60428"
"24845","3062","8600000US60429","ZCTA5 60429"
"28584","3323","8600000US60430","ZCTA5 60430"
"29918","4292","8600000US60431","ZCTA5 60431"
"20797","3856","8600000US60432","ZCTA5 60432"
"21726","2596","8600000US60433","ZCTA5 60433"
"22970","2318","8600000US60435","ZCTA5 60435"
"18144","2887","8600000US60436","ZCTA5 60436"
"-","**","8600000US60437","ZCTA5 60437"
"24543","2115","8600000US60438","ZCTA5 60438"
"10187","12502","8600000US60439","ZCTA5 60439"
"29605","3328","8600000US60440","ZCTA5 60440"
"22881","5891","8600000US60441","ZCTA5 60441"
"121245","77153","8600000US60442","ZCTA5 60442"
"41650","4907","8600000US60443","ZCTA5 60443"
"-","**","8600000US60444","ZCTA5 60444"
"21338","3936","8600000US60445","ZCTA5 60445"
"29230","3970","8600000US60446","ZCTA5 60446"
"13064","6993","8600000US60447","ZCTA5 60447"
"52703","38990","8600000US60448","ZCTA5 60448"
"37644","9604","8600000US60449","ZCTA5 60449"
"31141","31552","8600000US60450","ZCTA5 60450"
"26308","15654","8600000US60451","ZCTA5 60451"
"42058","17012","8600000US60452","ZCTA5 60452"
"34762","4196","8600000US60453","ZCTA5 60453"
"26492","9794","8600000US60455","ZCTA5 60455"
"30646","4685","8600000US60456","ZCTA5 60456"
"27661","13552","8600000US60457","ZCTA5 60457"
"23111","4350","8600000US60458","ZCTA5 60458"
"16450","6097","8600000US60459","ZCTA5 60459"
"-","**","8600000US60460","ZCTA5 60460"
"45067","8732","8600000US60461","ZCTA5 60461"
"46266","11682","8600000US60462","ZCTA5 60462"
"18293","10219","8600000US60463","ZCTA5 60463"
"60623","23114","8600000US60464","ZCTA5 60464"
"32699","8387","8600000US60465","ZCTA5 60465"
"25126","1817","8600000US60466","ZCTA5 60466"
"36180","10005","8600000US60467","ZCTA5 60467"
"null","null","8600000US60468","ZCTA5 60468"
"19258","10854","8600000US60469","ZCTA5 60469"
"-","**","8600000US60470","ZCTA5 60470"
"28575","2551","8600000US60471","ZCTA5 60471"
"16891","2797","8600000US60472","ZCTA5 60472"
"27682","2094","8600000US60473","ZCTA5 60473"
"-","**","8600000US60474","ZCTA5 60474"
"26690","5240","8600000US60475","ZCTA5 60475"
"35053","11966","8600000US60476","ZCTA5 60476"
"30341","6506","8600000US60477","ZCTA5 60477"
"31466","3527","8600000US60478","ZCTA5 60478"
"-","**","8600000US60479","ZCTA5 60479"
"25685","22199","8600000US60480","ZCTA5 60480"
"32557","18757","8600000US60481","ZCTA5 60481"
"22413","6225","8600000US60482","ZCTA5 60482"
"24645","2205","8600000US60484","ZCTA5 60484"
"25007","8016","8600000US60487","ZCTA5 60487"
"39066","10117","8600000US60490","ZCTA5 60490"
"42399","15151","8600000US60491","ZCTA5 60491"
"26449","10636","8600000US60501","ZCTA5 60501"
"46267","9650","8600000US60502","ZCTA5 60502"
"39228","9576","8600000US60503","ZCTA5 60503"
"31230","4874","8600000US60504","ZCTA5 60504"
"22491","3758","8600000US60505","ZCTA5 60505"
"24315","3925","8600000US60506","ZCTA5 60506"
"33679","16457","8600000US60510","ZCTA5 60510"
"-","**","8600000US60511","ZCTA5 60511"
"19256","3636","8600000US60512","ZCTA5 60512"
"21020","5553","8600000US60513","ZCTA5 60513"
"24008","18521","8600000US60514","ZCTA5 60514"
"32041","8926","8600000US60515","ZCTA5 60515"
"32651","10040","8600000US60516","ZCTA5 60516"
"28003","5520","8600000US60517","ZCTA5 60517"
"9938","7975","8600000US60518","ZCTA5 60518"
"-","**","8600000US60519","ZCTA5 60519"
"-","**","8600000US60520","ZCTA5 60520"
"62156","30877","8600000US60521","ZCTA5 60521"
"84813","40799","8600000US60523","ZCTA5 60523"
"23015","6893","8600000US60525","ZCTA5 60525"
"37683","19041","8600000US60526","ZCTA5 60526"
"29273","13838","8600000US60527","ZCTA5 60527"
"null","null","8600000US60530","ZCTA5 60530"
"-","**","8600000US60531","ZCTA5 60531"
"40145","7626","8600000US60532","ZCTA5 60532"
"24746","7386","8600000US60534","ZCTA5 60534"
"-","**","8600000US60536","ZCTA5 60536"
"-","**","8600000US60537","ZCTA5 60537"
"29443","8528","8600000US60538","ZCTA5 60538"
"null","null","8600000US60539","ZCTA5 60539"
"41230","10907","8600000US60540","ZCTA5 60540"
"65890","35137","8600000US60541","ZCTA5 60541"
"45234","23371","8600000US60542","ZCTA5 60542"
"31891","6704","8600000US60543","ZCTA5 60543"
"31307","6142","8600000US60544","ZCTA5 60544"
"23259","10595","8600000US60545","ZCTA5 60545"
"26029","7334","8600000US60546","ZCTA5 60546"
"null","null","8600000US60548","ZCTA5 60548"
"-","**","8600000US60549","ZCTA5 60549"
"null","null","8600000US60550","ZCTA5 60550"
"1188","608","8600000US60551","ZCTA5 60551"
"null","null","8600000US60552","ZCTA5 60552"
"18600","15765","8600000US60553","ZCTA5 60553"
"36174","23404","8600000US60554","ZCTA5 60554"
"17576","10762","8600000US60555","ZCTA5 60555"
"9979","4024","8600000US60556","ZCTA5 60556"
"-","**","8600000US60557","ZCTA5 60557"
"69828","71968","8600000US60558","ZCTA5 60558"
"28756","4689","8600000US60559","ZCTA5 60559"
"19194","6678","8600000US60560","ZCTA5 60560"
"24948","10212","8600000US60561","ZCTA5 60561"
"34900","9809","8600000US60563","ZCTA5 60563"
"41686","9924","8600000US60564","ZCTA5 60564"
"37549","7032","8600000US60565","ZCTA5 60565"
"49527","22348","8600000US60585","ZCTA5 60585"
"26757","5412","8600000US60586","ZCTA5 60586"
"87582","23004","8600000US60601","ZCTA5 60601"
"78346","64396","8600000US60602","ZCTA5 60602"
"59411","85355","8600000US60603","ZCTA5 60603"
"13946","22510","8600000US60604","ZCTA5 60604"
"54674","10928","8600000US60605","ZCTA5 60605"
"null","null","8600000US60606","ZCTA5 60606"
"31874","13564","8600000US60607","ZCTA5 60607"
"11475","2305","8600000US60608","ZCTA5 60608"
"16516","1675","8600000US60609","ZCTA5 60609"
"34772","7976","8600000US60610","ZCTA5 60610"
"126594","100255","8600000US60611","ZCTA5 60611"
"21093","4225","8600000US60612","ZCTA5 60612"
"36426","8397","8600000US60613","ZCTA5 60613"
"43144","9370","8600000US60614","ZCTA5 60614"
"36361","3070","8600000US60615","ZCTA5 60615"
"41513","5675","8600000US60616","ZCTA5 60616"
"24399","1797","8600000US60617","ZCTA5 60617"
"38454","7346","8600000US60618","ZCTA5 60618"
"25531","1674","8600000US60619","ZCTA5 60619"
"21329","1016","8600000US60620","ZCTA5 60620"
"15007","1347","8600000US60621","ZCTA5 60621"
"36771","5508","8600000US60622","ZCTA5 60622"
"17185","1319","8600000US60623","ZCTA5 60623"
"14652","812","8600000US60624","ZCTA5 60624"
"36047","10499","8600000US60625","ZCTA5 60625"
"19817","2100","8600000US60626","ZCTA5 60626"
"21969","1207","8600000US60628","ZCTA5 60628"
"19566","1824","8600000US60629","ZCTA5 60629"
"35767","10307","8600000US60630","ZCTA5 60630"
"17057","14491","8600000US60631","ZCTA5 60631"
"15745","5611","8600000US60632","ZCTA5 60632"
"24533","6911","8600000US60633","ZCTA5 60633"
"30277","8605","8600000US60634","ZCTA5 60634"
"17932","1556","8600000US60636","ZCTA5 60636"
"22581","3972","8600000US60637","ZCTA5 60637"
"23191","6549","8600000US60638","ZCTA5 60638"
"26885","8366","8600000US60639","ZCTA5 60639"
"18809","2203","8600000US60640","ZCTA5 60640"
"36227","9105","8600000US60641","ZCTA5 60641"
"45098","17248","8600000US60642","ZCTA5 60642"
"29842","2377","8600000US60643","ZCTA5 60643"
"17472","1619","8600000US60644","ZCTA5 60644"
"23736","4150","8600000US60645","ZCTA5 60645"
"25920","23480","8600000US60646","ZCTA5 60646"
"26592","3817","8600000US60647","ZCTA5 60647"
"27308","2258","8600000US60649","ZCTA5 60649"
"19837","1269","8600000US60651","ZCTA5 60651"
"31842","2662","8600000US60652","ZCTA5 60652"
"28616","2706","8600000US60653","ZCTA5 60653"
"72965","38074","8600000US60654","ZCTA5 60654"
"42069","4438","8600000US60655","ZCTA5 60655"
"28561","9668","8600000US60656","ZCTA5 60656"
"57302","11140","8600000US60657","ZCTA5 60657"
"20056","3932","8600000US60659","ZCTA5 60659"
"28788","5077","8600000US60660","ZCTA5 60660"
"59316","26282","8600000US60661","ZCTA5 60661"
"23088","10259","8600000US60706","ZCTA5 60706"
"37822","8401","8600000US60707","ZCTA5 60707"
"27393","17728","8600000US60712","ZCTA5 60712"
"21836","9329","8600000US60714","ZCTA5 60714"
"28069","4882","8600000US60803","ZCTA5 60803"
"21324","8618","8600000US60804","ZCTA5 60804"
"30769","3137","8600000US60805","ZCTA5 60805"
"19797","2059","8600000US60827","ZCTA5 60827"
"16694","1776","8600000US60901","ZCTA5 60901"
"21825","5687","8600000US60910","ZCTA5 60910"
"-","**","8600000US60911","ZCTA5 60911"
"null","null","8600000US60912","ZCTA5 60912"
"null","null","8600000US60913","ZCTA5 60913"
"18433","3301","8600000US60914","ZCTA5 60914"
"23672","11036","8600000US60915","ZCTA5 60915"
"-","**","8600000US60917","ZCTA5 60917"
"-","**","8600000US60918","ZCTA5 60918"
"-","**","8600000US60919","ZCTA5 60919"
"-","**","8600000US60920","ZCTA5 60920"
"-","**","8600000US60921","ZCTA5 60921"
"24843","8362","8600000US60922","ZCTA5 60922"
"-","**","8600000US60924","ZCTA5 60924"
"-","**","8600000US60926","ZCTA5 60926"
"-","**","8600000US60927","ZCTA5 60927"
"-","**","8600000US60928","ZCTA5 60928"
"-","**","8600000US60929","ZCTA5 60929"
"null","null","8600000US60930","ZCTA5 60930"
"-","**","8600000US60931","ZCTA5 60931"
"-","**","8600000US60932","ZCTA5 60932"
"-","**","8600000US60933","ZCTA5 60933"
"-","**","8600000US60934","ZCTA5 60934"
"null","null","8600000US60935","ZCTA5 60935"
"22413","15346","8600000US60936","ZCTA5 60936"
"null","null","8600000US60938","ZCTA5 60938"
"null","null","8600000US60940","ZCTA5 60940"
"null","null","8600000US60941","ZCTA5 60941"
"null","null","8600000US60942","ZCTA5 60942"
"null","null","8600000US60945","ZCTA5 60945"
"-","**","8600000US60946","ZCTA5 60946"
"null","null","8600000US60948","ZCTA5 60948"
"null","null","8600000US60949","ZCTA5 60949"
"14886","7686","8600000US60950","ZCTA5 60950"
"-","**","8600000US60951","ZCTA5 60951"
"-","**","8600000US60952","ZCTA5 60952"
"null","null","8600000US60953","ZCTA5 60953"
"25111","10089","8600000US60954","ZCTA5 60954"
"null","null","8600000US60955","ZCTA5 60955"
"10367","6342","8600000US60957","ZCTA5 60957"
"18491","4861","8600000US60958","ZCTA5 60958"
"null","null","8600000US60959","ZCTA5 60959"
"-","**","8600000US60960","ZCTA5 60960"
"-","**","8600000US60961","ZCTA5 60961"
"null","null","8600000US60962","ZCTA5 60962"
"-","**","8600000US60963","ZCTA5 60963"
"18972","5260","8600000US60964","ZCTA5 60964"
"null","null","8600000US60966","ZCTA5 60966"
"null","null","8600000US60968","ZCTA5 60968"
"-","**","8600000US60969","ZCTA5 60969"
"8136","5995","8600000US60970","ZCTA5 60970"
"-","**","8600000US60973","ZCTA5 60973"
"null","null","8600000US60974","ZCTA5 60974"
"null","null","8600000US61001","ZCTA5 61001"
"null","null","8600000US61006","ZCTA5 61006"
"-","**","8600000US61007","ZCTA5 61007"
"33030","15703","8600000US61008","ZCTA5 61008"
"null","null","8600000US61010","ZCTA5 61010"
"101713","70803","8600000US61011","ZCTA5 61011"
"null","null","8600000US61012","ZCTA5 61012"
