"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"33626","9356","1400000US17031030102","Census Tract 301.02, Cook County, Illinois"
"36576","9644","1400000US17031030103","Census Tract 301.03, Cook County, Illinois"
"19144","8410","1400000US17031030104","Census Tract 301.04, Cook County, Illinois"
"37353","9237","1400000US17031030200","Census Tract 302, Cook County, Illinois"
"20980","10432","1400000US17031030300","Census Tract 303, Cook County, Illinois"
"20379","21972","1400000US17031030400","Census Tract 304, Cook County, Illinois"
"46828","15207","1400000US17031030500","Census Tract 305, Cook County, Illinois"
"15632","7583","1400000US17031030601","Census Tract 306.01, Cook County, Illinois"
"32056","8751","1400000US17031030603","Census Tract 306.03, Cook County, Illinois"
"51986","34610","1400000US17031030604","Census Tract 306.04, Cook County, Illinois"
"19443","6792","1400000US17031030701","Census Tract 307.01, Cook County, Illinois"
"37672","24831","1400000US17031030702","Census Tract 307.02, Cook County, Illinois"
"27983","8424","1400000US17031030703","Census Tract 307.03, Cook County, Illinois"
"36124","12838","1400000US17031030706","Census Tract 307.06, Cook County, Illinois"
"34637","16997","1400000US17031030800","Census Tract 308, Cook County, Illinois"
"23870","8949","1400000US17031030900","Census Tract 309, Cook County, Illinois"
"25581","16887","1400000US17031031000","Census Tract 310, Cook County, Illinois"
"40810","33358","1400000US17031031100","Census Tract 311, Cook County, Illinois"
"13046","3937","1400000US17031031200","Census Tract 312, Cook County, Illinois"
"25932","12076","1400000US17031031300","Census Tract 313, Cook County, Illinois"
"80728","38724","1400000US17031031400","Census Tract 314, Cook County, Illinois"
"9770","5692","1400000US17031031501","Census Tract 315.01, Cook County, Illinois"
"9682","2014","1400000US17031031502","Census Tract 315.02, Cook County, Illinois"
"21668","7366","1400000US17031031700","Census Tract 317, Cook County, Illinois"
"28737","21859","1400000US17031031800","Census Tract 318, Cook County, Illinois"
"31750","11630","1400000US17031031900","Census Tract 319, Cook County, Illinois"
"27525","11839","1400000US17031032100","Census Tract 321, Cook County, Illinois"
"33890","16285","1400000US17031040100","Census Tract 401, Cook County, Illinois"
"40943","21393","1400000US17031040201","Census Tract 402.01, Cook County, Illinois"
"79273","97447","1400000US17031040202","Census Tract 402.02, Cook County, Illinois"
"32654","48447","1400000US17031040300","Census Tract 403, Cook County, Illinois"
"34478","34631","1400000US17031040401","Census Tract 404.01, Cook County, Illinois"
"63017","29124","1400000US17031040402","Census Tract 404.02, Cook County, Illinois"
