zipcode,male,white,median_age
60482,0.50,0.89,42.1
60484,0.42,0.09,32.5
60487,0.50,0.85,39.4
60490,0.50,0.54,35.4
60491,0.50,0.94,44.3
60501,0.50,0.63,32.5
60502,0.49,0.67,37.7
60503,0.48,0.56,33.8
60504,0.50,0.63,34
60505,0.50,0.53,32.2
60506,0.51,0.64,34.7
60510,0.49,0.89,40.2
60511,0.57,0.98,39.1
60512,0.44,0.93,47.5
60513,0.45,0.85,39.4
60514,0.48,0.86,40
60515,0.48,0.90,42.2
60516,0.48,0.87,43.7
60517,0.51,0.74,38.4
60518,0.51,0.93,42.9
60519,0.71,1.00,64.3
60520,0.47,0.96,38.8
60521,0.51,0.85,42.5
60523,0.46,0.65,58.7
60525,0.49,0.89,43.8
60526,0.47,0.90,40.7
60527,0.49,0.73,46.7
60530,0.55,0.95,37.7
60531,0.51,0.98,42.7
60532,0.50,0.78,38.1
60534,0.51,0.79,34.4
60536,0.48,1.00,35
60537,0.58,1.00,39.8
60538,0.49,0.81,32.5
60539,0.88,0.81,34.9
60540,0.49,0.79,40
60541,0.48,0.98,34.5
60542,0.50,0.81,41.2
60543,0.50,0.83,37.5
60544,0.45,0.79,40.9
60545,0.52,0.77,34.7
60546,0.48,0.81,42.1
60548,0.50,0.94,38.9
60549,0.53,1.00,41.5
60550,0.50,0.97,46.9
60551,0.70,0.75,37.9
60552,0.51,0.96,41.7
60553,0.55,0.97,46.7
60554,0.51,0.88,45.3
60555,0.50,0.86,37.9
60556,0.48,0.95,37.3
60557,0.55,1.00,56.8
60558,0.49,0.97,41.4
60559,0.47,0.71,38.9
60560,0.50,0.86,36
60561,0.49,0.79,45.9
60563,0.49,0.72,36.8
60564,0.50,0.63,39.5
60565,0.49,0.77,41
60585,0.51,0.78,36.9
60586,0.48,0.80,32.6
60601,0.47,0.73,33.6
60602,0.56,0.64,34.1
60603,0.50,0.63,31.2
60604,0.48,0.65,32.2
60605,0.45,0.63,33.6
60606,0.51,0.71,36.3
60607,0.50,0.59,30.2
60608,0.56,0.45,32.6
